"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"22",23,0,0,-0.00976240794327192,181166.104517601,9.99999962187537,5.33057164376167,-10,0,0,0.000742946607385786,1.20176259499841,-1.34624590466178
"23",24,0,0,0.157285436574463,0,0.157290923889211,0.162078835090737,10,0,0,0.000794463136378947,0.000794463136378947,1.203258328433
"24",25,0,0,0.00912362464698164,53.2617400634342,0.200001480484313,1.22832595053431,10,0,0,1.22832590937862,0,10
"25",26,0,0,0.00862979677864018,0.777292182133297,0.200000000049598,0.815159769875187,4.03332297236271,0,0,0.000541033855723212,0.200306414007879,1.30882538028832
"26",27,0,0,-0.0470658418650906,0.0910837689738036,0.200000000000578,0.00362979233102982,-0.536754870178669,0,0,0,0.0910835748956649,0.890483321382941
"27",28,0,0,0.0377824268994035,489557.298064786,10,0.556178361093067,10,0,0,0.000711428926504263,0.0337538582512432,1.12015079247565
"28",29,0,0,-0.0340324921160825,2.88213950537852,0.19999999885113,0.377351610441196,-4.33689833488343,0,0,0.324148304223463,0.0227050597470743,-3.87372683877294
"29",30,0,0,-0.0173443821067719,1219562.59055694,-10,365665.831342103,10,0,0,1924.67278912282,1883.53680919429,-10
"30",31,0,0,-0.00570723354642881,5.48196675057489,0.20000000784245,5.02793953870907,-0.708263141701724,0,0,0.000684746082262841,1.9832760323207,-0.820439668382414
"31",32,0,0,0.00448119397651872,0.000739616505895235,0.2,0.000824147810259445,0.0212891657197466,0,0,0.000510944000417678,0,0.0378621652960639
"32",33,0,0,-0.076111376228159,1901112.4265789,10,0.226971067441393,-6.43933188471355,0,0,1641.90547300972,1766.42416067512,-10
"33",34,0,0,0.0109257285838342,0.829835711640557,0.199999999987169,1.04397003193762,10,0,0,1.04396977885989,0,10
"34",35,0,0,0.0615106454583141,0.172085845041082,0.199999999999585,0.392736844943947,10,0,0,0.000632422037702217,0.00856342148387647,1.24344398818206
"35",36,0,0,-0.00752602955100526,1.88453703518094,0.199999999949921,1.37840528978395,-1.33101636963315,0,0,1.37813238790442,0,-1.331091043548
"36",37,0,0,0.00206981049523812,352044.267713062,10,747212.227082766,-9.99999990529285,0,0,1400.93876281417,1499.81305973778,-10
"37",38,0,0,0.0210464719363991,968562.425526239,10,0.881868121175883,10,0,0,1761.73507055088,1375.80730847398,-10
"38",39,0,0,0.014599771121158,1.59636970455446,0.199999999664349,1.01480121216141,10,0,0,0.000792947474225704,0.147151601728586,1.06360778530088
"39",40,0,0,-0.00754602960971801,2891446.75267647,10,733410.020523028,9.99999999141089,0,0,1863.40980186925,1687.65898428752,-10
"40",41,0,0,0.0397826449899418,0.718708210838627,0.19999999999378,0.552275818350576,10,0,0,0.000663624334220266,0.0148655710393191,1.52670159609577
"41",42,0,0,0.00545565699678197,256041.862465899,10,1.56443891839477,10,0,0,1165.34206841012,1169.36071538722,-10
"42",43,0,0,-0.000709947104893575,11.8308290068417,0.200000234880533,440039.569399802,-10,0,0,0.000696846121015485,0.524909655131169,1.14053258348715
"43",44,0,0,-0.0431891157610483,680384.611091397,-9.99999999999272,0.632092744205462,-10,0,0,1291.13299852833,2000.86156212512,-10
"44",45,0,0,0.0229187024648935,0.278991442928614,0.199999999999576,0.768609438847334,10,0,0,0.768609438588776,0,10
"45",48,0,0,0.0222281876618757,2.29676714092372,0.199999999978344,0.788707797860871,10,0,0,0.000990206251059528,0.0284430715950215,1.7159121817476
"46",49,0,0,0.0737878555965392,2.85507749234998,0.199999998757164,0.336420089188072,10,0,0,0.000800674552755118,0.00275007205878951,1.35447253217744
"47",51,0,0,0.263904807438432,0.0768342345507463,0.200000000003202,0.00218177171879877,2.52607045488454,0,0,0.00027311370231581,0,1.36673347927233
"48",52,0,0,-0.039432096285963,249369.078160391,-9.99999867278964,0.459416180315605,-5.83810428674619,0,0,0.0189383046077102,0.341995691731934,-1.91080357598927
"49",53,0,0,0.00573511048265035,9.67549528988027,0.199999998563987,2.31691234367596,10,0,0,0.000614280691625996,0.538005014540735,1.20885933518142
"50",54,0,0,0.0179683202432197,488799.690932303,10,0.928482496669581,10,0,0,0.928482484535051,0,10
"51",55,0,0,-0.0894504540220598,951157.732221544,-10,0.196677235416491,-7.01870593127002,0,0,8.49493607191364e-05,0.100857006361059,-0.454374901645773
"52",56,0,0,0.00696710159591505,344110.60437584,-10,1.59201639067531,10,0,0,619.726328401415,576.544925985844,-10
"53",57,0,0,0.0416241603554741,4.14807008019948,0.199999997659804,0.528627925409317,10,0,0,0.000605178394169959,0.00850814315466379,1.65623169678133
"54",58,0,0,-0.0043749038189955,0.954273244052522,0.200000000002905,0.924740356457043,0.814772559728561,0,0,0.924758447963133,0,0.81481633200522
"55",60,0,0,-0.009470145252842,875019.947553381,-10,248273.354387485,-9.99999850439375,0,0,1775.10723903342,2190.38873963915,-10
"56",61,0,0,-0.000933609492077458,2.78874841034931,0.19999999904552,2.44431834870701,10,0,0,2.44431832290675,0,10
"57",62,0,0,-0.0152813426661489,2.84543457883761,0.199999999526224,3.44684743835635,-10,0,0,0.000994327230811831,0.809508004069527,-0.589723555920651
"58",63,0,0,0.0133260253139902,205500.795519488,-10,1.29973063507654,10,0,0,0.000859498193083212,0.114963293199138,1.34999497500239
