"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"37","0.2","0.2","0.2","0.2","0.2","-1","-1","-1","-1","322b","313","233","333","21","26","27"
"38","0.143","0.143","0.143","0.143","0.143","0.143","0.143","-1","-1","22b1","211","222","323","2","14","24"
"39","0.167","0.167","0.167","0.167","0.167","0.167","-1","-1","-1","321","332","133","233","18","25","26"
"40","0.143","0.143","0.143","0.143","0.143","0.143","0.143","-1","-1","311","211","232","223","2","17","23"
"41","0.143","0.143","0.143","0.143","0.143","0.143","0.143","-1","-1","22a1","221","132","223","5","16","23"
"42","0.125","0.125","0.125","0.125","0.125","0.125","0.125","0.125","-1","211","111","222","323","1","14","24"
"43","0.167","0.167","0.167","0.167","0.167","0.167","-1","-1","-1","321","131","232","133","7","17","25"
"44","0.167","0.167","0.167","0.167","0.167","0.167","-1","-1","-1","22a2b","211","212","322","2","11","15"
"45","0.143","0.143","0.143","0.143","0.143","0.143","0.143","-1","-1","22b1","122","332","313","13","18","21"
"46","0.166","0.168","0.166","0.168","0.166","0.166","-1","-1","-1","22a2b","121","132","232","4","16","17"
"47","0.142","0.144","0.142","0.144","0.142","0.142","0.144","-1","-1","22a1","321","213","233","6","20","26"
"48","0.2","0.2","0.2","0.2","0.2","-1","-1","-1","-1","331","131","231","331","7","8","9"
"49","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","111","221","312","133","5","12","25"
"50","0.142","0.144","0.142","0.144","0.142","0.142","0.144","-1","-1","22a1","232","123","323","17","22","24"
"51","0.167","0.166","0.166","0.168","0.166","0.168","-1","-1","-1","321","311","331","322","3","9","15"
"52","0.167","0.166","0.168","0.166","0.166","0.168","-1","-1","-1","321","231","232","133","8","17","25"
"53","0.167","0.167","0.167","0.167","0.167","0.167","-1","-1","-1","22b2b","231","213","333","8","20","27"
"54","0.143","0.143","0.143","0.143","0.143","0.143","0.143","-1","-1","311","313","123","233","21","22","26"
"55","0.166","0.168","0.166","0.168","0.166","0.166","-1","-1","-1","22a2b","222","322","233","14","15","26"
"56","0.143","0.143","0.143","0.143","0.142","0.143","0.143","-1","-1","22b1","221","232","123","5","17","22"
"57","0.125","0.126","0.125","0.125","0.126","0.125","0.125","0.126","-1","211","321","222","133","6","14","25"
"58","0.2","0.199","0.201","0.199","0.201","-1","-1","-1","-1","322b","123","133","233","22","25","26"
"59","0.143","0.143","0.143","0.143","0.142","0.143","0.143","-1","-1","22b1","212","313","133","11","21","25"
"60","0.125","0.126","0.125","0.125","0.126","0.125","0.125","0.126","-1","211","111","321","232","1","6","17"
"61","0.125","0.125","0.125","0.125","0.125","0.125","0.125","0.125","-1","211","231","222","313","8","14","21"
"62","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","111","311","232","123","3","17","22"
"63","0.167","0.167","0.167","0.167","0.167","0.167","-1","-1","-1","22b2b","212","313","233","11","21","26"
"64","0.125","0.125","0.125","0.125","0.125","0.125","0.125","0.125","-1","211","112","323","233","10","24","26"
"65","0.167","0.167","0.167","0.167","0.167","0.167","-1","-1","-1","22a2b","311","131","133","3","7","25"
"66","0.2","0.2","0.2","0.2","0.2","-1","-1","-1","-1","331","213","223","233","20","23","26"
"67","0.167","0.167","0.167","0.167","0.167","0.167","-1","-1","-1","321","122","322","223","13","15","23"
"68","0.143","0.143","0.143","0.143","0.143","0.143","0.143","-1","-1","22a1","332","123","223","18","22","23"
"69","0.167","0.167","0.167","0.167","0.167","0.167","-1","-1","-1","321","221","122","322","5","13","15"
"70","0.143","0.143","0.143","0.143","0.143","0.143","0.143","-1","-1","311","211","312","113","2","12","19"
"71","0.2","0.2","0.2","0.2","0.2","-1","-1","-1","-1","322b","311","331","333","3","9","27"
"72","0.143","0.143","0.143","0.143","0.143","0.143","0.143","-1","-1","22b1","221","232","333","5","17","27"
"73","0.143","0.143","0.143","0.143","0.143","0.143","0.143","-1","-1","22b1","311","221","233","3","5","26"
"74","0.167","0.167","0.167","0.167","0.167","0.167","-1","-1","-1","22a2b","112","113","323","10","19","24"
"75","0.143","0.143","0.143","0.143","0.143","0.143","0.143","-1","-1","22a1","222","232","313","14","17","21"
"76","0.2","0.2","0.2","0.2","0.2","-1","-1","-1","-1","331","113","213","313","19","20","21"
"77","0.167","0.167","0.167","0.167","0.167","0.167","-1","-1","-1","22b2b","211","331","312","2","9","12"
"78","0.2","0.2","0.2","0.2","0.2","-1","-1","-1","-1","322b","111","311","313","1","3","21"
"79","0.125","0.125","0.125","0.125","0.125","0.125","0.125","0.125","-1","211","111","222","323","1","14","24"
"80","0.143","0.143","0.143","0.143","0.143","0.143","0.143","-1","-1","22a1","121","321","212","4","6","11"
"81","0.167","0.167","0.167","0.167","0.167","0.167","-1","-1","-1","321","111","211","321","1","2","6"
"82","0.125","0.125","0.125","0.125","0.125","0.125","0.125","0.125","-1","211","231","122","213","8","13","20"
"83","0.167","0.167","0.167","0.167","0.167","0.167","-1","-1","-1","321","121","122","223","4","13","23"
"84","0.167","0.167","0.167","0.167","0.167","0.167","-1","-1","-1","22a2b","231","113","233","8","19","26"
"85","0.167","0.167","0.167","0.167","0.167","0.167","-1","-1","-1","22a2b","131","112","312","7","10","12"
"86","0.143","0.143","0.143","0.143","0.143","0.143","0.143","-1","-1","311","313","123","233","21","22","26"
"87","0.143","0.143","0.143","0.143","0.143","0.143","0.143","-1","-1","22a1","211","231","322","2","8","15"
"88","0.143","0.143","0.143","0.143","0.143","0.143","0.143","-1","-1","22b1","211","112","223","2","10","23"
"89","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","111","231","122","313","8","13","21"
"90","0.143","0.143","0.143","0.143","0.143","0.143","0.143","-1","-1","22b1","211","131","312","2","7","12"
"91","0.167","0.167","0.167","0.167","0.167","0.167","-1","-1","-1","22b2b","111","231","133","1","8","25"
"92","0.2","0.2","0.2","0.2","0.2","-1","-1","-1","-1","322b","113","213","223","19","20","23"
"93","0.125","0.125","0.125","0.125","0.125","0.125","0.125","0.125","-1","211","212","123","333","11","22","27"
"94","0.143","0.143","0.143","0.143","0.143","0.143","0.143","-1","-1","22b1","211","331","132","2","9","16"
"95","0.143","0.143","0.143","0.143","0.143","0.143","0.143","-1","-1","311","211","222","233","2","14","26"
"96","0.167","0.167","0.167","0.167","0.167","0.167","-1","-1","-1","321","111","221","321","1","5","6"
"97","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","111","321","232","113","6","17","19"
"98","0.167","0.167","0.167","0.167","0.167","0.167","-1","-1","-1","22a2b","221","321","232","5","6","17"
"99","0.167","0.167","0.167","0.167","0.167","0.167","-1","-1","-1","321","311","331","322","3","9","15"
"100","0.143","0.143","0.143","0.143","0.143","0.143","0.143","-1","-1","22b1","111","332","133","1","18","25"
"101","0.2","0.2","0.2","0.2","0.2","-1","-1","-1","-1","331","231","232","233","8","17","26"
"102","0.143","0.143","0.143","0.143","0.143","0.143","0.143","-1","-1","22a1","131","132","313","7","16","21"
"103","0.167","0.167","0.167","0.167","0.167","0.167","-1","-1","-1","22a2b","111","212","222","1","11","14"
"104","0.143","0.143","0.143","0.143","0.143","0.143","0.143","-1","-1","22a1","232","123","323","17","22","24"
"105","0.125","0.125","0.125","0.125","0.125","0.125","0.125","0.125","-1","211","221","131","313","5","7","21"
"106","0.168","0.165","0.168","0.165","0.165","0.168","-1","-1","-1","22b2b","231","212","132","8","11","16"
"107","0.166","0.168","0.166","0.168","0.168","0.165","-1","-1","-1","22a2b","131","123","323","7","22","24"
"108","0.202","0.2","0.199","0.2","0.199","-1","-1","-1","-1","322b","332","133","333","18","25","27"
"109","0.143","0.144","0.143","0.144","0.141","0.141","0.144","-1","-1","22a1","311","232","233","3","17","26"
"110","0.145","0.143","0.145","0.143","0.141","0.143","0.143","-1","-1","22b1","312","222","233","12","14","26"
"111","0.203","0.203","0.198","0.198","0.198","-1","-1","-1","-1","331","111","121","131","1","4","7"
"112","0.145","0.143","0.145","0.143","0.141","0.143","0.143","-1","-1","22b1","211","131","312","2","7","12"
"113","0.17","0.167","0.164","0.164","0.167","0.167","-1","-1","-1","321","231","132","332","8","16","18"
"114","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","111","311","232","123","3","17","22"
"115","0.127","0.126","0.124","0.124","0.126","0.124","0.124","0.126","-1","211","322","132","213","15","16","20"
"116","0.143","0.144","0.143","0.144","0.141","0.141","0.144","-1","-1","22a1","222","232","113","14","17","19"
"117","0.147","0.142","0.142","0.142","0.142","0.142","0.142","-1","-1","311","111","212","313","1","11","21"
"118","0.17","0.167","0.167","0.164","0.164","0.167","-1","-1","-1","321","221","122","223","5","13","23"
"119","0.166","0.168","0.166","0.168","0.168","0.165","-1","-1","-1","22a2b","121","221","233","4","5","26"
"120","0.127","0.126","0.124","0.124","0.126","0.124","0.124","0.126","-1","211","221","132","323","5","16","24"
"121","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","111","211","122","333","2","13","27"
"122","0.169","0.164","0.169","0.164","0.164","0.169","-1","-1","-1","22b2b","211","331","312","2","9","12"
"123","0.141","0.145","0.141","0.145","0.136","0.145","0.145","-1","-1","22b1","121","222","233","4","14","26"
"124","0.131","0.154","0.131","0.154","0.138","0.138","0.154","-1","-1","22a1","231","123","323","8","22","24"
"125","0.122","0.129","0.123","0.123","0.129","0.123","0.123","0.129","-1","211","231","122","213","8","13","20"
"126","0.141","0.145","0.141","0.145","0.136","0.145","0.145","-1","-1","22b1","111","213","323","1","20","24"
"127","0.21","0.21","0.193","0.193","0.193","-1","-1","-1","-1","331","121","221","321","4","5","6"
"128","0.158","0.14","0.14","0.14","0.14","0.14","0.14","-1","-1","311","112","322","232","10","15","17"
"129","0.131","0.154","0.131","0.154","0.138","0.138","0.154","-1","-1","22a1","111","322","323","1","15","24"
"130","0.181","0.156","0.172","0.16","0.16","0.172","-1","-1","-1","321","321","122","323","6","13","24"
"131","0.181","0.172","0.16","0.16","0.172","0.156","-1","-1","-1","321","211","222","232","2","14","17"
"132","0.153","0.179","0.153","0.179","0.169","0.169","-1","-1","-1","22a2b","311","131","133","3","7","25"
"133","0.153","0.179","0.153","0.179","0.169","0.169","-1","-1","-1","22a2b","211","221","322","2","5","15"
"134","0.122","0.129","0.123","0.123","0.129","0.123","0.123","0.129","-1","211","312","123","233","12","22","26"
"135","0.211","0.191","0.204","0.191","0.204","-1","-1","-1","-1","322b","313","233","333","21","26","27"
"136","0.167","0.167","0.167","0.167","0.167","0.167","-1","-1","-1","22b2b","212","313","233","11","21","26"
"137","0.143","0.143","0.143","0.143","0.143","0.143","0.143","-1","-1","311","321","312","333","6","12","27"
"138","0.2","0.2","0.2","0.2","0.2","-1","-1","-1","-1","322b","231","233","333","8","26","27"
"139","0.143","0.143","0.143","0.143","0.143","0.143","0.143","-1","-1","22a1","131","231","313","7","8","21"
"140","0.167","0.167","0.167","0.167","0.167","0.167","-1","-1","-1","321","211","222","213","2","14","20"
"141","0.167","0.167","0.167","0.167","0.167","0.167","-1","-1","-1","321","232","213","223","17","20","23"
"142","0.143","0.143","0.143","0.143","0.143","0.143","0.143","-1","-1","22b1","312","222","233","12","14","26"
"143","0.167","0.167","0.167","0.167","0.167","0.167","-1","-1","-1","22a2b","221","131","223","5","7","23"
"144","0.167","0.167","0.167","0.167","0.167","0.167","-1","-1","-1","22a2b","231","331","313","8","9","21"
"145","0.143","0.143","0.143","0.143","0.143","0.143","0.143","-1","-1","22a1","321","322","113","6","15","19"
"146","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","111","311","122","233","3","13","26"
"147","0.143","0.143","0.143","0.143","0.143","0.143","0.143","-1","-1","22b1","211","232","313","2","17","21"
"148","0.2","0.2","0.2","0.2","0.2","-1","-1","-1","-1","331","313","323","333","21","24","27"
"149","0.125","0.125","0.125","0.125","0.125","0.125","0.125","0.125","-1","211","211","321","132","2","6","16"
"150","0.125","0.125","0.125","0.125","0.125","0.125","0.125","0.125","-1","211","211","322","123","2","15","22"
"151","0.471","0.088","0.088","0.088","0.088","0.088","0.088","-1","-1","311","211","112","313","2","10","21"
"152","0.361","0.188","0.131","0.188","0.131","-1","-1","-1","-1","322b","122","222","123","13","14","22"
"153","0.207","0.121","0.108","0.108","0.121","0.108","0.108","0.121","-1","211","221","332","133","5","18","25"
"154","0.224","0.114","0.224","0.114","0.098","0.114","0.114","-1","-1","22b1","111","312","333","1","12","27"
"155","0.155","0.141","0.155","0.141","0.286","0.122","-1","-1","-1","22a2b","221","222","332","5","14","18"
"156","0.207","0.121","0.108","0.108","0.121","0.108","0.108","0.121","-1","211","321","332","213","6","18","20"
"157","0.154","0.152","0.154","0.152","0.117","0.117","0.152","-1","-1","22a1","121","321","212","4","6","11"
"158","0.334","0.334","0.111","0.111","0.111","-1","-1","-1","-1","331","311","321","331","3","6","9"
"159","0.235","0.098","0.235","0.098","0.098","0.235","-1","-1","-1","22b2b","111","231","133","1","8","25"
"160","0.224","0.114","0.224","0.114","0.098","0.114","0.114","-1","-1","22b1","321","112","222","6","10","14"
"161","0.429","0.143","0.115","0.098","0.098","0.115","-1","-1","-1","321","112","212","322","10","11","15"
"162","0.154","0.152","0.154","0.152","0.117","0.117","0.152","-1","-1","22a1","122","322","233","13","15","26"
"163","0.429","0.115","0.098","0.098","0.115","0.143","-1","-1","-1","321","231","212","222","8","11","14"
"164","0.155","0.141","0.155","0.141","0.286","0.122","-1","-1","-1","22a2b","211","233","333","2","26","27"
"165","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","111","221","132","313","5","16","21"
"166","0.159","0.112","0.159","0.112","0.355","0.104","-1","-1","-1","22a2b","121","132","232","4","16","17"
"167","0.183","0.135","0.183","0.135","0.114","0.114","0.135","-1","-1","22a1","111","322","323","1","15","24"
"168","0.593","0.075","0.124","0.075","0.067","0.067","-1","-1","-1","321","211","112","113","2","10","19"
"169","0.46","0.175","0.095","0.175","0.095","-1","-1","-1","-1","322b","111","131","231","1","7","8"
"170","0.593","0.067","0.067","0.075","0.124","0.075","-1","-1","-1","321","212","222","233","11","14","26"
"171","0.28","0.108","0.099","0.099","0.108","0.099","0.099","0.108","-1","211","311","222","233","3","14","26"
"172","0.275","0.092","0.275","0.092","0.081","0.092","0.092","-1","-1","22b1","121","331","233","4","9","26"
"173","0.676","0.054","0.054","0.054","0.054","0.054","0.054","-1","-1","311","221","122","323","5","13","24"
"174","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","111","311","232","123","3","17","22"
"175","0.28","0.108","0.099","0.099","0.108","0.099","0.099","0.108","-1","211","231","332","123","8","18","22"
"176","0.393","0.393","0.071","0.071","0.071","-1","-1","-1","-1","331","131","132","133","7","16","25"
"177","0.183","0.135","0.183","0.135","0.114","0.114","0.135","-1","-1","22a1","232","123","323","17","22","24"
"178","0.275","0.092","0.275","0.092","0.081","0.092","0.092","-1","-1","22b1","321","131","113","6","7","19"
"179","0.263","0.07","0.263","0.07","0.07","0.263","-1","-1","-1","22b2b","232","223","133","17","23","25"
"180","0.159","0.112","0.159","0.112","0.355","0.104","-1","-1","-1","22a2b","321","213","313","6","20","21"
"181","0.56","0.132","0.084","0.07","0.07","0.084","-1","-1","-1","321","221","222","233","5","14","26"
"182","0.56","0.084","0.07","0.07","0.084","0.132","-1","-1","-1","321","231","132","332","8","16","18"
"183","0.382","0.382","0.079","0.079","0.079","-1","-1","-1","-1","331","121","122","123","4","13","22"
"184","0.262","0.072","0.262","0.072","0.072","0.262","-1","-1","-1","22b2b","121","322","132","4","15","16"
"185","0.159","0.116","0.159","0.116","0.351","0.099","-1","-1","-1","22a2b","312","113","133","12","19","25"
"186","0.179","0.143","0.179","0.143","0.107","0.107","0.143","-1","-1","22a1","321","213","233","6","20","26"
"187","0.64","0.06","0.06","0.06","0.06","0.06","0.06","-1","-1","311","331","312","323","9","12","24"
"188","0.272","0.094","0.272","0.094","0.08","0.094","0.094","-1","-1","22b1","131","212","113","7","11","19"
"189","0.272","0.112","0.098","0.098","0.112","0.098","0.098","0.112","-1","211","131","232","323","7","17","24"
"190","0.272","0.094","0.272","0.094","0.08","0.094","0.094","-1","-1","22b1","121","312","113","4","12","19"
"191","0.179","0.143","0.179","0.143","0.107","0.107","0.143","-1","-1","22a1","121","321","212","4","6","11"
"192","0.434","0.183","0.099","0.183","0.099","-1","-1","-1","-1","322b","123","133","233","22","25","26"
"193","0.159","0.116","0.159","0.116","0.351","0.099","-1","-1","-1","22a2b","131","212","132","7","11","16"
"194","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","111","231","112","323","8","10","24"
"195","0.272","0.112","0.098","0.098","0.112","0.098","0.098","0.112","-1","211","221","131","313","5","7","21"
"196","0.167","0.16","0.167","0.16","0.194","0.151","-1","-1","-1","22a2b","221","213","313","5","20","21"
"197","0.154","0.144","0.154","0.144","0.13","0.13","0.144","-1","-1","22a1","231","232","113","8","17","19"
"198","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","111","131","322","213","7","15","20"
"199","0.222","0.177","0.155","0.146","0.146","0.155","-1","-1","-1","321","231","232","213","8","17","20"
"200","0.222","0.177","0.155","0.146","0.146","0.155","-1","-1","-1","321","131","132","113","7","16","19"
"201","0.171","0.133","0.171","0.133","0.126","0.133","0.133","-1","-1","22b1","131","222","332","7","14","18"
"202","0.234","0.202","0.18","0.202","0.18","-1","-1","-1","-1","322b","121","112","122","4","10","13"
"203","0.154","0.144","0.154","0.144","0.13","0.13","0.144","-1","-1","22a1","111","322","323","1","15","24"
"204","0.159","0.123","0.118","0.118","0.123","0.118","0.118","0.123","-1","211","321","113","233","6","19","26"
"205","0.213","0.131","0.131","0.131","0.131","0.131","0.131","-1","-1","311","113","323","233","19","24","26"
"206","0.171","0.133","0.171","0.133","0.126","0.133","0.133","-1","-1","22b1","231","222","323","8","14","24"
"207","0.159","0.123","0.118","0.118","0.123","0.118","0.118","0.123","-1","211","321","212","113","6","11","19"
"208","0.188","0.145","0.188","0.145","0.145","0.188","-1","-1","-1","22b2b","112","332","133","10","18","25"
"209","0.167","0.16","0.167","0.16","0.194","0.151","-1","-1","-1","22a2b","312","232","313","12","17","21"
"210","0.24","0.24","0.174","0.174","0.174","-1","-1","-1","-1","331","213","223","233","20","23","26"
"211","0.08","0.211","0.177","0.177","0.211","0.144","-1","-1","-1","321","131","233","333","7","26","27"
"212","0.111","0.174","0.111","0.174","0.128","0.128","0.174","-1","-1","22a1","311","122","313","3","13","21"
"213","0.142","0.213","0.142","0.213","0.111","0.181","-1","-1","-1","22a2b","222","313","223","14","21","23"
"214","0.128","0.182","0.254","0.182","0.254","-1","-1","-1","-1","322b","123","133","233","22","25","26"
"215","0.125","0.208","0.125","0.208","0.208","0.125","-1","-1","-1","22b2b","311","131","112","3","7","10"
"216","0.097","0.166","0.097","0.166","0.141","0.166","0.166","-1","-1","22b1","231","313","223","8","21","23"
"217","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","111","121","312","233","4","12","26"
"218","0.097","0.166","0.097","0.166","0.141","0.166","0.166","-1","-1","22b1","221","232","123","5","17","22"
"219","0.111","0.174","0.111","0.174","0.128","0.128","0.174","-1","-1","22a1","121","233","333","4","26","27"
"220","0.142","0.213","0.142","0.213","0.111","0.181","-1","-1","-1","22a2b","122","322","113","13","15","19"
"221","0.129","0.129","0.247","0.247","0.247","-1","-1","-1","-1","331","113","213","313","19","20","21"
"222","0.08","0.142","0.123","0.123","0.142","0.123","0.123","0.142","-1","211","121","313","233","4","21","26"
"223","0.08","0.211","0.177","0.177","0.211","0.144","-1","-1","-1","321","212","223","233","11","23","26"
"224","0.055","0.158","0.158","0.158","0.158","0.158","0.158","-1","-1","311","131","332","233","7","18","26"
"225","0.08","0.142","0.123","0.123","0.142","0.123","0.123","0.142","-1","211","331","212","113","9","11","19"
"226","0.158","0.143","0.158","0.143","0.128","0.128","0.143","-1","-1","22a1","132","213","223","16","20","23"
"227","0.236","0.127","0.127","0.127","0.127","0.127","0.127","-1","-1","311","211","232","223","2","17","23"
"228","0.179","0.13","0.179","0.13","0.122","0.13","0.13","-1","-1","22b1","312","213","123","12","20","22"
"229","0.168","0.157","0.168","0.157","0.203","0.147","-1","-1","-1","22a2b","131","231","223","7","8","23"
"230","0.245","0.203","0.175","0.203","0.175","-1","-1","-1","-1","322b","223","233","333","23","26","27"
"231","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","111","121","312","233","4","12","26"
"232","0.251","0.251","0.166","0.166","0.166","-1","-1","-1","-1","331","312","322","332","12","15","18"
"233","0.194","0.139","0.194","0.139","0.139","0.194","-1","-1","-1","22b2b","212","313","233","11","21","26"
"234","0.179","0.13","0.179","0.13","0.122","0.13","0.13","-1","-1","22b1","112","332","323","10","18","24"
"235","0.239","0.15","0.141","0.141","0.15","0.179","-1","-1","-1","321","132","233","333","16","26","27"
"236","0.239","0.179","0.15","0.141","0.141","0.15","-1","-1","-1","321","231","232","223","8","17","23"
"237","0.169","0.122","0.116","0.116","0.122","0.116","0.116","0.122","-1","211","221","131","313","5","7","21"
"238","0.169","0.122","0.116","0.116","0.122","0.116","0.116","0.122","-1","211","331","222","133","9","14","25"
"239","0.158","0.143","0.158","0.143","0.128","0.128","0.143","-1","-1","22a1","221","332","223","5","18","23"
"240","0.168","0.157","0.168","0.157","0.203","0.147","-1","-1","-1","22a2b","112","312","133","10","12","25"
"241","0.566","0.082","0.07","0.07","0.082","0.13","-1","-1","-1","321","312","323","333","12","24","27"
"242","0.384","0.384","0.078","0.078","0.078","-1","-1","-1","-1","331","111","121","131","1","4","7"
"243","0.441","0.181","0.099","0.181","0.099","-1","-1","-1","-1","322b","331","312","332","9","12","18"
"244","0.178","0.141","0.178","0.141","0.11","0.11","0.141","-1","-1","22a1","111","232","113","1","17","19"
"245","0.566","0.07","0.07","0.082","0.13","0.082","-1","-1","-1","321","222","232","213","14","17","20"
"246","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","111","221","312","133","5","12","25"
"247","0.269","0.111","0.099","0.099","0.111","0.099","0.099","0.111","-1","211","221","331","113","5","9","19"
"248","0.27","0.095","0.27","0.095","0.082","0.095","0.095","-1","-1","22b1","311","221","123","3","5","22"
"249","0.269","0.111","0.099","0.099","0.111","0.099","0.099","0.111","-1","211","131","312","222","7","12","14"
"250","0.27","0.095","0.27","0.095","0.082","0.095","0.095","-1","-1","22b1","221","112","213","5","10","20"
"251","0.158","0.116","0.158","0.116","0.351","0.101","-1","-1","-1","22a2b","211","231","113","2","8","19"
"252","0.178","0.141","0.178","0.141","0.11","0.11","0.141","-1","-1","22a1","312","123","133","12","22","25"
"253","0.644","0.059","0.059","0.059","0.059","0.059","0.059","-1","-1","311","131","332","233","7","18","26"
"254","0.158","0.116","0.158","0.116","0.351","0.101","-1","-1","-1","22a2b","121","132","232","4","16","17"
"255","0.261","0.072","0.261","0.072","0.072","0.261","-1","-1","-1","22b2b","112","332","133","10","18","25"
"256","0.077","0.211","0.125","0.211","0.188","0.188","-1","-1","-1","321","131","332","333","7","18","27"
"257","0.068","0.14","0.128","0.128","0.14","0.128","0.128","0.14","-1","211","331","222","133","9","14","25"
"258","0.099","0.173","0.099","0.173","0.142","0.142","0.173","-1","-1","22a1","221","332","223","5","18","23"
"259","0.118","0.215","0.118","0.215","0.215","0.118","-1","-1","-1","22b2b","231","212","132","8","11","16"
"260","0.12","0.12","0.254","0.254","0.254","-1","-1","-1","-1","331","111","211","311","1","2","3"
"261","0.128","0.174","0.262","0.174","0.262","-1","-1","-1","-1","322b","231","212","232","8","11","17"
"262","0.051","0.158","0.158","0.158","0.158","0.158","0.158","-1","-1","311","112","322","232","10","15","17"
