"","workerid","item","slide_number","language","MUsharedother","target","obj2","obj3","itemCode","MUnumchoices","MUsharedlistenerpick","MUalign","utterance","response","gender","age"
"63",4,157210,8,"ENGLISH",NA,221,223,331,"2sameNANA",2,NA,"same","striped",0.35,"Female","40"
"64",4,3081,9,"ENGLISH",2,131,111,321,"3diff12",3,1,"diff","blue",0.15,"Female","40"
"65",4,280951,10,"ENGLISH",NA,313,333,213,"3sameNANA",3,NA,"same","green",0.6,"Female","40"
"66",4,236180,11,"ENGLISH",NA,233,131,312,"1sameNANA",1,NA,"same","green",0.6,"Female","40"
"67",4,273140,12,"ENGLISH",NA,232,333,312,"2sameNANA",2,NA,"same","polka-dotted",0.3,"Female","40"
"68",4,131242,13,"ENGLISH",2,213,211,313,"3diff22",3,2,"diff","solid",0.75,"Female","40"
"69",4,266431,14,"ENGLISH",NA,312,333,112,"2diff1NA",2,1,"diff","square",0.3,"Female","40"
"70",4,269301,15,"ENGLISH",1,311,322,333,"3diff11",3,1,"diff","square",0.7,"Female","40"
"71",4,111621,16,"ENGLISH",NA,312,332,213,"2diff2NA",2,2,"diff","red",0.8,"Female","40"
"72",4,118772,17,"ENGLISH",NA,313,311,212,"3sameNANA",3,NA,"same","solid",0.25,"Female","40"
"73",4,205400,18,"ENGLISH",NA,311,331,133,"2sameNANA",2,NA,"same","square",0.85,"Female","40"
"74",4,87210,19,"ENGLISH",NA,211,312,113,"3sameNANA",3,NA,"same","solid",0.85,"Female","40"
"75",4,142430,20,"ENGLISH",NA,322,121,123,"1sameNANA",1,NA,"same","square",0.85,"Female","40"
"76",5,7522,6,"english",1,221,131,331,"3diff11",3,1,"diff","blue",0.6,"Male","27"
"77",5,154701,7,"english",1,211,221,223,"3diff21",3,2,"diff","circle",0.5,"Male","27"
"78",5,267420,8,"english",NA,331,333,122,"1sameNANA",1,NA,"same","blue",0.65,"Male","27"
"79",5,171200,9,"english",NA,211,213,223,"3sameNANA",3,NA,"same","circle",0.65,"Male","27"
"80",5,200150,10,"english",2,123,323,313,"3diff12",3,1,"diff","green",0.25,"Male","27"
"81",5,201670,11,"english",2,323,322,223,"3diff22",3,2,"diff","striped",0.35,"Male","27"
"82",5,14451,12,"english",NA,231,121,212,"2sameNANA",2,NA,"same","blue",0.65,"Male","27"
"83",5,35040,13,"english",NA,312,112,222,"2diff2NA",2,2,"diff","solid",0.5,"Male","27"
"84",5,280920,14,"english",NA,213,313,333,"3sameNANA",3,NA,"same","green",0.8,"Male","27"
"85",5,89940,15,"english",NA,222,321,113,"2diff1NA",2,1,"diff","striped",0.3,"Male","27"
"86",5,65170,16,"english",NA,232,322,111,"1sameNANA",1,NA,"same","polka-dotted",0.75,"Male","27"
"87",5,269020,17,"english",NA,122,222,333,"2sameNANA",2,NA,"same","red",0.65,"Male","27"
