"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"17",0.000124004882271008,0,0.0237570058182413,0.348543118434197,8.44383315238809e-05,0.0783727197653744,0.00490134801995513,1.8250497017936e-05,0.0405264704273078,0.0308382049346249,0.0984540718513496,0.0128229482955536,0.00942348799894957,0.0288040080098763,0.0192581292446442
"18",0,0.0104977324638171,0,0.050453952454154,0.0515384943670192,0,0.00376714764546169,0.0499769616315021,0.176204794630883,0.00214546507698278,0.0773650268145399,0.574761028510878,0.0018808303248525,0.051130695413304,0.0273943752364897
"19",0,0.104055251685085,0.158346232611721,0.000292843490852372,0.11025447749095,0.0129676051777773,0.1174224101326,1.08601529068455,0.398144867783055,0.00141730752949879,0.11025447749095,0.0168591122628608,0,0.102095217093265,0.107288093753488
"20",0,0.0461349201622936,0.00520560597475552,0.00441633800956064,0.111882238952857,0,0.0589961602751413,0.142895924125122,0.00132619117188459,0.228310881236317,0.00126078331241563,0.023266063231664,7.90743081913953e-05,0.108706948839258,0.0183608204206544
"21",0,0.40492508196619,0.00802577893302686,0.542362867043887,0.0185957007850244,0.129006779952642,0.0363883235537753,8.7158392385045e-06,0.00230610972012502,0.133773540482278,0.0160405390825475,0.18764238466353,0.138915890770184,0.0585998786952489,0.0526884017695141
"22",7.71424044132565e-05,0.026326921254894,0.0487737004435636,0,0.0171355786565315,0.0555959018641244,0,0,0,0,0,0,0.636982515493693,0,0.113959018556338
"23",0.0105650568759387,0.0311807709044057,0.0903406995728071,0,0.00839264277870076,0.00036824809401146,0.000283092580207589,0.0189687570522685,0.00839264277870076,0.00504224547681382,0,0.0196443722307613,0.0107347845823741,0.0004499872871917,0.00839264277870076
"24",0.0890450957372149,0,0.0990299944876475,0.0182290619494344,0.0254938762743129,0.0127035940872292,0.0908212357330957,0.0127035940872292,0,0.00991120821762508,0,0.0182290619494215,0,0.00991120821762508,0.0167501875684193
"25",0,0.0725076951986279,0.040054927261461,0.153525738957875,0.0620879844400613,0,0,0,0,0,0,0.00222387124612719,0.00757128567014968,0.012371207925244,0.00150095902545821
"26",0.227944348454624,0.0153063578285829,0.0407290734594958,0,0.0599344633905942,0.172357968092983,0.32858739083288,0,0,0.217147940968826,0,0.12949955755057,0.285559852644682,0.09778374599807,0.00252478857673089
