"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"50",55,0,0,0.0389331388189938,0,0,0,0,0,0,0,0,0
"51",56,0,0,-0.08214666610547,0,0,0,0,0,0,0,0,0
"52",57,0,0,-0.0752808984444974,0,0,0,0,0,0,0,0,0
"53",58,0,0,0.0533809914949066,0,0,0,0,0,0,0,0,0
"54",59,0,0,0.0540444169024731,0,0,0,0,0,0,0,0,0
"55",60,0,0,0.0245595026451943,0,0,0,0,0,0,0,0,0
"56",61,0,0,0.00550373369770383,0,0,0,0,0,0,0,0,0
"57",62,0,0,0.055998878103916,0,0,0,0,0,0,0,0,0
"58",63,0,0,0.129841126986955,0,0,0,0,0,0,0,0,0
"59",64,0,0,0.0439594896132027,0,0,0,0,0,0,0,0,0
"60",65,0,0,0.326173516892565,0,0,0,0,0,0,0,0,0
"61",66,0,0,0.0637885664551942,0,0,0,0,0,0,0,0,0
"62",67,0,0,0.171498866360954,0,0,0,0,0,0,0,0,0
"63",68,0,0,0.164934046521398,0,0,0,0,0,0,0,0,0
"64",69,0,0,-0.217014320619135,0,0,0,0,0,0,0,0,0
"65",70,0,0,0.111999728083562,0,0,0,0,0,0,0,0,0
"66",71,0,0,0.00151470678674444,0,0,0,0,0,0,0,0,0
"67",72,0,0,0.0454097554856359,0,0,0,0,0,0,0,0,0
"68",73,0,0,0.0669741311918388,0,0,0,0,0,0,0,0,0
"69",74,0,0,0.0260696030355486,0,0,0,0,0,0,0,0,0
"70",75,0,0,-0.147955778019381,0,0,0,0,0,0,0,0,0
"71",76,0,0,-0.0913108593875845,0,0,0,0,0,0,0,0,0
"72",77,0,0,-0.115013398950275,0,0,0,0,0,0,0,0,0
"73",78,0,0,0.0418409986038377,0,0,0,0,0,0,0,0,0
"74",79,0,0,0.0655144944926344,0,0,0,0,0,0,0,0,0
"75",80,0,0,0.200197566244122,0,0,0,0,0,0,0,0,0
"76",81,0,0,0.0115517453456714,0,0,0,0,0,0,0,0,0
"77",82,0,0,-0.246860080389621,0,0,0,0,0,0,0,0,0
"78",83,0,0,0.0179561654848567,0,0,0,0,0,0,0,0,0
"79",84,0,0,0.146059683663493,0,0,0,0,0,0,0,0,0
"80",85,0,0,0.139845636028245,0,0,0,0,0,0,0,0,0
"81",87,0,0,0.0065225186089662,0,0,0,0,0,0,0,0,0
"82",88,0,0,-5.30344082911914,0,0,0,0,0,0,0,0,0
"83",89,0,0,0.077806758901948,0,0,0,0,0,0,0,0,0
"84",90,0,0,-0.00245079448813867,0,0,0,0,0,0,0,0,0
"85",91,0,0,0.0485799544494158,0,0,0,0,0,0,0,0,0
"86",92,0,0,0.248018636519641,0,0,0,0,0,0,0,0,0
"87",93,0,0,0.0142915567817783,0,0,0,0,0,0,0,0,0
"88",95,0,0,0.120616091369402,0,0,0,0,0,0,0,0,0
"89",97,0,0,0.0757035590025049,0,0,0,0,0,0,0,0,0
"90",98,0,0,0.00771083815631405,0,0,0,0,0,0,0,0,0
"91",99,0,0,0.16528320796395,0,0,0,0,0,0,0,0,0
"92",100,0,0,-0.1128752802467,0,0,0,0,0,0,0,0,0
"93",101,0,0,-0.115226570717441,0,0,0,0,0,0,0,0,0
"94",102,0,0,0.0351145134835275,0,0,0,0,0,0,0,0,0
"95",103,0,0,0.122273343976162,0,0,0,0,0,0,0,0,0
"96",104,0,0,0.024847794935154,0,0,0,0,0,0,0,0,0
"97",105,0,0,0.185301145887866,0,0,0,0,0,0,0,0,0
"98",107,0,0,0.0174752622802727,0,0,0,0,0,0,0,0,0
"99",108,0,0,0.0310106299526163,0,0,0,0,0,0,0,0,0
"100",111,0,0,0.122557873840348,0,0,0,0,0,0,0,0,0
"101",112,0,0,0.0625854829738892,0,0,0,0,0,0,0,0,0
"102",113,0,0,-0.0122317639164047,0,0,0,0,0,0,0,0,0
"103",114,0,0,0.0238784481521739,0,0,0,0,0,0,0,0,0
"104",115,0,0,0.210741534853609,0,0,0,0,0,0,0,0,0
"105",116,0,0,0.0739334443490441,0,0,0,0,0,0,0,0,0
"106",117,0,0,0.0451195680982907,0,0,0,0,0,0,0,0,0
"107",118,0,0,0.0153111268510817,0,0,0,0,0,0,0,0,0
"108",119,0,0,-0.00323446710275408,0,0,0,0,0,0,0,0,0
"109",120,0,0,0.0307709478924664,0,0,0,0,0,0,0,0,0
"110",121,0,0,0.147727866358423,0,0,0,0,0,0,0,0,0
"111",122,0,0,-0.0168942796056329,0,0,0,0,0,0,0,0,0
"112",123,0,0,0.470431256118032,0,0,0,0,0,0,0,0,0
"113",124,0,0,0.202568223430701,0,0,0,0,0,0,0,0,0
"114",125,0,0,0.0170627961228488,0,0,0,0,0,0,0,0,0
"115",126,0,0,0.0310063056787044,0,0,0,0,0,0,0,0,0
"116",127,0,0,0.199830969031168,0,0,0,0,0,0,0,0,0
"117",128,0,0,-0.123242953772733,0,0,0,0,0,0,0,0,0
"118",129,0,0,0.191708208404794,0,0,0,0,0,0,0,0,0
"119",130,0,0,0.0511298588419729,0,0,0,0,0,0,0,0,0
"120",131,0,0,0.214104383581353,0,0,0,0,0,0,0,0,0
"121",132,0,0,-0.185887071679854,0,0,0,0,0,0,0,0,0
"122",133,0,0,0.0251265727522434,0,0,0,0,0,0,0,0,0
"123",134,0,0,-0.0651533709148715,0,0,0,0,0,0,0,0,0
