"","workerData","model","softness","obedience","type","cross_validated","Nr"
"220",0.375,1,"0","0","iterative","no",1
"221",0.64516,1,"0","0","iterative","no",1
"222",0.33333,0,"0","0","iterative","no",1
"223",0.51429,1,"0","0","iterative","no",1
"224",0.35484,0,"0","0","iterative","no",1
"225",0.33333,0,"0","0","iterative","no",1
"226",0.33333,0,"0","0","iterative","no",1
"227",0,0,"0","0","iterative","no",1
"228",0.33333,0,"0","0","iterative","no",1
"229",1,1,"0","0","iterative","no",1
"230",0.27273,0,"0","0","iterative","no",1
"231",0.275,0,"0","0","iterative","no",1
"232",0.52632,1,"0","0","iterative","no",1
"233",0,0.11111,"0","0","iterative","no",1
"234",0.51515,1,"0","0","iterative","no",1
"235",0.12903,0.2,"0","0","iterative","no",1
"236",0.35135,1,"0","0","iterative","no",1
"237",0.08571,0,"0","0","iterative","no",1
"238",0.44444,0.5,"0","0","iterative","no",1
"239",0.4359,0,"0","0","iterative","no",1
"240",0.38889,0,"0","0","iterative","no",1
"241",0,0.5,"0","0","iterative","no",1
"242",0,0.5,"0","0","iterative","no",1
"243",0,0,"0","0","iterative","no",1
"244",1,1,"0","0","iterative","no",1
"245",0.375,0,"0","0","iterative","no",1
"246",0.42105,1,"0","0","iterative","no",1
"247",0,1,"0","0","iterative","no",1
"248",0.76,0,"0","0","iterative","no",1
"249",1,1,"0","0","iterative","no",1
"250",0,0,"0","0","iterative","no",1
"251",0.05,0,"0","0","iterative","no",1
"252",1,0.66667,"0","0","iterative","no",1
"253",0.13793,0,"0","0","iterative","no",1
"254",0.04545,0,"0","0","iterative","no",1
"255",0.06452,0,"0","0","iterative","no",1
"256",0.30556,1,"0","0","iterative","no",1
"257",0,0,"0","0","iterative","no",1
"258",0,0,"0","0","iterative","no",1
"259",0,0,"0","0","iterative","no",1
"260",0,0,"0","0","iterative","no",1
"261",0.33333,0,"0","0","iterative","no",1
"262",0.28571,0,"0","0","iterative","no",1
"263",0.31034,0,"0","0","iterative","no",1
"264",0.66667,1,"0","0","iterative","no",1
"265",0.71429,1,"0","0","iterative","no",1
"266",0.28571,0,"0","0","iterative","no",1
"267",0.18605,0,"0","0","iterative","no",1
"268",0.10526,0,"0","0","iterative","no",1
"269",0,0.33333,"0","0","iterative","no",1
"270",0.5,1,"0","0","iterative","no",1
