"","workerid","utterance","response","feedback","orig_obj1","orig_obj2","orig_obj3","object1shape","object1pattern","object1color","object2shape","object2pattern","object2color","object3shape","object3pattern","object3color","preferenceDimension","Pref1","Pref2","Pref3","uttFeat","targetFeat","obj1OC27","obj2OC27","obj3OC27","targetObject","object2","object3"
"27",2,"circle",2,"VeryGood",132,213,212,"cloud","dotted","red","circle","plain","green","circle","plain","red","color","green","blue","red",1,3,16,20,11,20,16,11
"28",2,"dotted",1,"Good",331,221,333,"square","dotted","blue","circle","striped","blue","square","dotted","green","color","green","blue","red",1,3,9,5,27,9,5,27
"29",2,"plain",2,"VeryGood",123,311,312,"cloud","striped","green","square","plain","blue","square","plain","red","color","green","blue","red",1,3,22,3,12,3,22,12
"30",2,"square",1,"VeryGood",323,112,321,"square","striped","green","cloud","plain","red","square","striped","blue","color","green","blue","red",1,3,24,10,6,24,10,6
"31",2,"dotted",2,"VeryGood",311,233,231,"square","plain","blue","circle","dotted","green","circle","dotted","blue","color","green","blue","red",1,3,3,26,8,26,3,8
"32",2,"square",1,"VeryGood",323,211,321,"square","striped","green","circle","plain","blue","square","striped","blue","color","green","blue","red",1,3,24,2,6,24,2,6
"33",2,"plain",2,"VeryGood",312,313,133,"square","plain","red","square","plain","green","cloud","dotted","green","color","green","blue","red",1,3,12,21,25,21,12,25
"34",2,"cloud",1,"VeryGood",113,112,321,"cloud","plain","green","cloud","plain","red","square","striped","blue","color","green","blue","red",1,3,19,10,6,19,10,6
"35",2,"circle",3,"VeryGood",222,111,223,"circle","striped","red","cloud","plain","blue","circle","striped","green","color","green","blue","red",1,3,14,1,23,23,14,1
"36",2,"cloud",1,"VeryGood",111,112,222,"cloud","plain","blue","cloud","plain","red","circle","striped","red","color","green","blue","red",1,3,1,10,14,1,10,14
"37",2,"plain",1,"VeryGood",213,323,212,"circle","plain","green","square","striped","green","circle","plain","red","color","green","blue","red",1,3,20,24,11,20,24,11
"38",2,"striped",3,"VeryGood",133,221,223,"cloud","dotted","green","circle","striped","blue","circle","striped","green","color","green","blue","red",2,3,25,5,23,23,25,5
"39",2,"square",2,"VeryGood",123,331,332,"cloud","striped","green","square","dotted","blue","square","dotted","red","color","green","blue","red",1,3,22,9,18,9,22,18
