workerid,MUsharedother,trial_type,obj3,obj2,target,itemCode,item,MUnumchoices,slide_number,MUsharedlistenerpick,MUalign,utterance,response
3,NA,mutual_understanding,221,323,321,2diff2NA,178531,2,13,2,diff,square,0.5
3,NA,mutual_understanding,333,113,223,3sameNANA,284951,3,14,NA,same,green,0.7
3,NA,mutual_understanding,211,232,331,2sameNANA,58940,2,15,NA,same,polka-dotted,0.6
3,2,mutual_understanding,123,321,322,3diff12,142642,3,16,1,diff,striped,0.5
3,NA,mutual_understanding,213,312,311,3sameNANA,102610,3,17,NA,same,solid,0.5
3,NA,mutual_understanding,331,321,221,3sameNANA,7020,3,18,NA,same,blue,0.5
3,2,mutual_understanding,313,223,213,3diff22,174922,3,19,2,diff,green,0.5
3,NA,mutual_understanding,123,213,231,1sameNANA,150810,1,20,NA,same,polka-dotted,0.6
4,NA,mutual_understanding,223,212,131,1sameNANA,159100,1,6,NA,same,cloud,0.8
4,1,mutual_understanding,311,212,112,3diff21,15842,3,7,2,diff,solid,0.7
4,NA,mutual_understanding,331,223,221,2sameNANA,157210,2,8,NA,same,striped,0.35
4,2,mutual_understanding,321,111,131,3diff12,3081,3,9,1,diff,blue,0.15
4,NA,mutual_understanding,213,333,313,3sameNANA,280951,3,10,NA,same,green,0.6
4,NA,mutual_understanding,312,131,233,1sameNANA,236180,1,11,NA,same,green,0.6
4,NA,mutual_understanding,312,333,232,2sameNANA,273140,2,12,NA,same,polka-dotted,0.3
4,2,mutual_understanding,313,211,213,3diff22,131242,3,13,2,diff,solid,0.75
4,NA,mutual_understanding,112,333,312,2diff1NA,266431,2,14,1,diff,square,0.3
4,1,mutual_understanding,333,322,311,3diff11,269301,3,15,1,diff,square,0.7
4,NA,mutual_understanding,213,332,312,2diff2NA,111621,2,16,2,diff,red,0.8
4,NA,mutual_understanding,212,311,313,3sameNANA,118772,3,17,NA,same,solid,0.25
4,NA,mutual_understanding,133,331,311,2sameNANA,205400,2,18,NA,same,square,0.85
4,NA,mutual_understanding,113,312,211,3sameNANA,87210,3,19,NA,same,solid,0.85
4,NA,mutual_understanding,123,121,322,1sameNANA,142430,1,20,NA,same,square,0.85
5,1,mutual_understanding,331,131,221,3diff11,7522,3,6,1,diff,blue,0.6
5,1,mutual_understanding,223,221,211,3diff21,154701,3,7,2,diff,circle,0.5
5,NA,mutual_understanding,122,333,331,1sameNANA,267420,1,8,NA,same,blue,0.65
5,NA,mutual_understanding,223,213,211,3sameNANA,171200,3,9,NA,same,circle,0.65
5,2,mutual_understanding,313,323,123,3diff12,200150,3,10,1,diff,green,0.25
5,2,mutual_understanding,223,322,323,3diff22,201670,3,11,2,diff,striped,0.35
5,NA,mutual_understanding,212,121,231,2sameNANA,14451,2,12,NA,same,blue,0.65
5,NA,mutual_understanding,222,112,312,2diff2NA,35040,2,13,2,diff,solid,0.5
5,NA,mutual_understanding,333,313,213,3sameNANA,280920,3,14,NA,same,green,0.8
5,NA,mutual_understanding,113,321,222,2diff1NA,89940,2,15,1,diff,striped,0.3
5,NA,mutual_understanding,111,322,232,1sameNANA,65170,1,16,NA,same,polka-dotted,0.75
5,NA,mutual_understanding,333,222,122,2sameNANA,269020,2,17,NA,same,red,0.65
5,NA,mutual_understanding,231,313,331,2sameNANA,117530,2,18,NA,same,square,0.55
5,NA,mutual_understanding,331,321,221,3sameNANA,7020,3,19,NA,same,blue,0.75
5,NA,mutual_understanding,332,123,113,1sameNANA,150040,1,20,NA,same,solid,0.8
6,NA,mutual_understanding,133,122,112,3sameNANA,209900,3,6,NA,same,cloud,0.65
6,NA,mutual_understanding,222,333,113,2sameNANA,276650,2,7,NA,same,green,0.25
6,NA,mutual_understanding,323,331,132,2sameNANA,188441,2,8,NA,same,polka-dotted,0.75
6,1,mutual_understanding,331,211,221,3diff21,6350,3,9,2,diff,blue,0.15
6,NA,mutual_understanding,113,312,211,3sameNANA,87210,3,10,NA,same,solid,0.5
6,NA,mutual_understanding,333,313,213,3sameNANA,280920,3,11,NA,same,green,0.7
6,NA,mutual_understanding,312,131,111,2diff2NA,18001,2,12,2,diff,cloud,0.35
6,NA,mutual_understanding,232,212,113,1sameNANA,94680,1,13,NA,same,green,0.7
6,NA,mutual_understanding,333,322,232,2diff1NA,273450,2,14,1,diff,red,0.7
6,1,mutual_understanding,231,131,321,3diff11,5522,3,15,1,diff,blue,0.3
6,NA,mutual_understanding,312,311,133,1sameNANA,208170,1,16,NA,same,polka-dotted,0.35
6,2,mutual_understanding,312,332,232,3diff12,81150,3,17,1,diff,red,0.7
6,2,mutual_understanding,321,121,221,3diff22,1940,3,18,2,diff,striped,0.3
6,NA,mutual_understanding,313,132,123,1sameNANA,153570,1,19,NA,same,striped,0.5
6,NA,mutual_understanding,121,323,233,2sameNANA,255681,2,20,NA,same,green,0.7
7,NA,mutual_understanding,312,121,221,2diff2NA,17450,2,6,2,diff,blue,0.15
7,NA,mutual_understanding,333,313,312,2sameNANA,280110,2,7,NA,same,solid,0.9
7,NA,mutual_understanding,221,232,333,1sameNANA,272460,1,8,NA,same,square,0.95
7,1,mutual_understanding,222,212,112,3diff21,34021,3,9,2,diff,red,0
7,NA,mutual_understanding,311,332,322,3sameNANA,77331,3,10,NA,same,square,1
7,NA,mutual_understanding,333,133,233,3sameNANA,292451,3,11,NA,same,green,0.9
7,NA,mutual_understanding,312,213,212,3sameNANA,103410,3,12,NA,same,solid,0.8
7,NA,mutual_understanding,122,213,111,2diff1NA,103511,2,13,1,diff,solid,0.85
7,2,mutual_understanding,123,222,322,3diff12,143442,3,14,1,diff,striped,0.85
7,NA,mutual_understanding,222,132,331,2sameNANA,54110,2,15,NA,same,polka-dotted,0.85
7,2,mutual_understanding,333,232,233,3diff22,291642,3,16,2,diff,polka-dotted,0.8
7,NA,mutual_understanding,313,131,132,1sameNANA,125150,1,17,NA,same,red,1
7,1,mutual_understanding,231,131,321,3diff11,5522,3,18,1,diff,blue,0.85
7,NA,mutual_understanding,331,133,112,1sameNANA,206850,1,19,NA,same,red,1
7,NA,mutual_understanding,231,313,331,2sameNANA,117530,2,20,NA,same,square,0.8
8,NA,mutual_understanding,121,112,311,2sameNANA,8910,2,6,NA,same,solid,0.8
8,2,mutual_understanding,232,221,222,3diff22,64230,3,7,2,diff,circle,0.7
8,NA,mutual_understanding,312,112,212,1sameNANA,21930,1,8,NA,same,circle,0.65
8,NA,mutual_understanding,311,222,332,2sameNANA,76081,2,9,NA,same,red,0.35
8,NA,mutual_understanding,211,222,232,3sameNANA,63962,3,10,NA,same,circle,0.7
8,NA,mutual_understanding,323,332,311,3sameNANA,190900,3,11,NA,same,square,0.3
8,NA,mutual_understanding,131,111,113,3sameNANA,83162,3,12,NA,same,cloud,0.7
8,1,mutual_understanding,313,111,211,3diff21,114040,3,13,2,diff,solid,0.35
8,NA,mutual_understanding,312,121,221,2diff2NA,17450,2,14,2,diff,blue,0.75
8,NA,mutual_understanding,333,112,222,1sameNANA,268730,1,15,NA,same,circle,0.4
8,1,mutual_understanding,233,332,131,3diff11,244212,3,16,1,diff,polka-dotted,0.7
8,NA,mutual_understanding,311,321,123,2diff1NA,134270,2,17,1,diff,striped,0.3
8,2,mutual_understanding,212,221,223,3diff12,158961,3,18,1,diff,circle,0.75
8,NA,mutual_understanding,123,213,231,1sameNANA,150810,1,19,NA,same,polka-dotted,0.3
8,NA,mutual_understanding,231,311,212,2sameNANA,14371,2,20,NA,same,solid,0.7
