"","workerData","model","softness","obedience","alpha","type","cross_validated","Nr"
"121",0.793644744706402,1,"0","0",NA,"simpleRSA","no",1
"122",0.206355255293598,0,"0","0",NA,"simpleRSA","no",1
"123",0.607004268693263,0.66667,"0","0",NA,"simpleRSA","no",1
"124",0.151339870892756,0,"0","0",NA,"simpleRSA","no",1
"125",0.241655860413981,0.33333,"0","0",NA,"simpleRSA","no",1
"126",0.824348176722902,1,"0","0",NA,"simpleRSA","no",1
"127",0.175651823277098,0,"0","0",NA,"simpleRSA","no",1
"128",0.763842710298115,1,"0","0",NA,"simpleRSA","no",1
"129",0.236157289701885,0,"0","0",NA,"simpleRSA","no",1
"130",0.783633048108039,1,"0","0",NA,"simpleRSA","no",1
"131",0.216366951891961,0,"0","0",NA,"simpleRSA","no",1
"132",0.784776951677257,1,"0","0",NA,"simpleRSA","no",1
"133",0.215223048322743,0,"0","0",NA,"simpleRSA","no",1
"134",1,1,"0","0",NA,"simpleRSA","no",1
"135",0.659591253593314,0.66667,"0","0",NA,"simpleRSA","no",1
"136",0.12553843565129,0,"0","0",NA,"simpleRSA","no",1
"137",0.214870310755396,0.33333,"0","0",NA,"simpleRSA","no",1
"138",0.971428571428571,1,"0","0",NA,"simpleRSA","no",1
"139",0.771529346209773,1,"0","0",NA,"simpleRSA","no",1
"140",0.228470653790227,0,"0","0",NA,"simpleRSA","no",1
"141",1,1,"0","0",NA,"simpleRSA","no",1
"142",0.693247891133593,0.5,"0","0",NA,"simpleRSA","no",1
"143",0.306752108866407,0.5,"0","0",NA,"simpleRSA","no",1
"144",1,1,"0","0",NA,"simpleRSA","no",1
"145",0.875811700929837,1,"0","0",NA,"simpleRSA","no",1
"146",0.124188299070164,0,"0","0",NA,"simpleRSA","no",1
"147",1,1,"0","0",NA,"simpleRSA","no",1
"148",1,1,"0","0",NA,"simpleRSA","no",1
"149",0.694341276015463,1,"0","0",NA,"simpleRSA","no",1
"150",0.155153155663989,0,"0","0",NA,"simpleRSA","no",1
"151",0.150505568320548,0,"0","0",NA,"simpleRSA","no",1
"152",0.776311093655081,1,"0","0",NA,"simpleRSA","no",1
"153",0.118314182902189,0,"0","0",NA,"simpleRSA","no",1
"154",0.10537472344273,0,"0","0",NA,"simpleRSA","no",1
"155",0.837009411511676,1,"0","0",NA,"simpleRSA","no",1
"156",0.162990588488324,0,"0","0",NA,"simpleRSA","no",1
"157",0.745411852104251,1,"0","0",NA,"simpleRSA","no",1
"158",0.124481367107465,0,"0","0",NA,"simpleRSA","no",1
"159",0.130106780788285,0,"0","0",NA,"simpleRSA","no",1
"160",0.862665562371753,1,"0","0",NA,"simpleRSA","no",1
"161",0.137334437628247,0,"0","0",NA,"simpleRSA","no",1
"162",0.893604202220639,1,"0","0",NA,"simpleRSA","no",1
"163",0.106395797779361,0,"0","0",NA,"simpleRSA","no",1
"164",0.791475796093522,1,"0","0",NA,"simpleRSA","no",1
"165",0.208524203906478,0,"0","0",NA,"simpleRSA","no",1
"166",0.708666964532818,1,"0","0",NA,"simpleRSA","no",1
"167",0.15404450830224,0,"0","0",NA,"simpleRSA","no",1
"168",0.137288527164942,0,"0","0",NA,"simpleRSA","no",1
"169",0.749592254202825,1,"0","0",NA,"simpleRSA","no",1
"170",0.226598221987652,0,"0","0",NA,"simpleRSA","no",1
"171",0.815863097932138,1,"0","0",NA,"simpleRSA","no",1
"172",0.184136902067862,0,"0","0",NA,"simpleRSA","no",1
"173",0.790670359615266,1,"0","0",NA,"simpleRSA","no",1
"174",0.209329640384734,0,"0","0",NA,"simpleRSA","no",1
"175",0.821040954114455,1,"0","0",NA,"simpleRSA","no",1
"176",0.178959045885545,0,"0","0",NA,"simpleRSA","no",1
"177",0.826022668724524,1,"0","0",NA,"simpleRSA","no",1
"178",0.173977331275476,0,"0","0",NA,"simpleRSA","no",1
"179",0.826901101453255,1,"0","0",NA,"simpleRSA","no",1
"180",0.173098898546745,0,"0","0",NA,"simpleRSA","no",1
"181",1,1,"0","0",NA,"simpleRSA","no",1
"182",0.733987541335879,1,"0","0",NA,"simpleRSA","no",1
"183",0.140734555725762,0,"0","0",NA,"simpleRSA","no",1
"184",0.125277902938359,0,"0","0",NA,"simpleRSA","no",1
"185",1,1,"0","0",NA,"simpleRSA","no",1
"186",0.847022049151057,1,"0","0",NA,"simpleRSA","no",1
"187",0.152977950848943,0,"0","0",NA,"simpleRSA","no",1
