"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"23",26,0,0,5.57586511806322e-05,0.000484576942982318,0.117607900889205,0,0,0,0.0310001894653887,0.915541132926914
"24",27,0,0,0.0874083803067484,1.39451057933684,10,0.333957450792071,10,4691.6655854416,4322.51609592139,10
"25",28,0,0,0.0438805636947102,4.0051022380251,10,0.635799069871108,10,3152.06908163231,3615.81971556087,0
"26",29,0,0,5.57586511806322e-05,0,0,0,0,0,0.00439758380769212,0.924471605051121
"27",30,0,0,5.57586511806322e-05,0.000765470620336598,0.0794737943892792,0,0,0,0.0158735152882324,0.883128847480687
"28",31,0,0,0.0650174136104137,2.28519331340227,10,9676119.42463739,10,2603.84067413812,2850.29005986322,0
"29",32,0,0,0.0539585851063003,0.000689378609208781,0.264645679122377,0.00289329114431012,0.563441790032029,0.000722448393014658,0.0118530037438379,0.764304249119318
"30",33,0,0,0.0659241454598025,1.0705846999423,10,721166.849175032,10,2570.60338462853,2470.2077735469,0
"31",34,0,0,0.000556188917942507,0.859238703777079,10,269887.478803233,1.47329903950746e-06,2221.52670925491,2483.32049202901,0
"32",35,0,0,5.57586511806322e-05,0,0,0,0,0,0.00429499179330923,0.897831891674091
"33",36,0,0,5.57586511806322e-05,0.00096273001885421,0.0253831742005774,0,0,0,0,0
"34",37,0,0,0.0144006129011864,0.428949193173868,10,1014696.09073751,10,3351.97867750856,4272.14991847824,10
"35",38,0,0,0.167179051004529,2.24931423306276,10,0.153585460138597,10,0.153586687844703,0,10
"36",39,0,0,0.0146292839551043,15.8341065136416,10,400611.971232681,10,1359.46533620553,1447.08434436112,0
"37",40,0,0,0.0597815410568084,1.42950653771663,10,768492.011247009,0,3651.63185884208,4016.88424495693,0
"38",42,0,0,5.57586511806322e-05,0.000753535541995317,0.0834440042812556,0,0,0,0.00884735079303352,0.922064152159653
"39",43,0,0,5.57586511806322e-05,0,0,0,0,0,0.00287950412735236,0.916844340317337
"40",44,0,0,5.57586511806322e-05,0.218321165162076,5.87167614076322,529273.08604126,5.00701243965575e-08,384.98868036812,398.949506828513,0
"41",45,0,0,5.57586511806322e-05,0.151404959536803,0,0.144441931731691,0,0,0.00080419432396542,3.21269469638048
"42",46,0,0,0.536907037407273,13.4916448813883,10,0.0258741245881244,10,0,0,0.536909112145689
"43",47,0,0,5.57586511806322e-05,0.000998456084055768,0.094999219831332,0,0,0,0.00465370894570995,0.954721435148325
"44",49,0,0,5.57586511806322e-05,0.000514969625383053,0.100615412810907,0,0,0,0.0135900263852767,0.912653141611171
"45",50,0,0,5.57586511806322e-05,0.024076542966641,0,0,0,0,0.0936805899830434,0.847331001961166
"46",51,0,0,0.136698333947909,4.93553320967438,10,0.00662165571146814,1.74478794980802,0.00275472043851802,0,1.38327354931667
"47",52,0,0,0.00488547297094744,0.225876424981743,3.14429473462981,0.410478785099787,0.571616774403123,0.410477425026791,0,0.571614901495854
"48",53,0,0,0.211822547434324,1.99577820357548,10,0.118053252011023,10,0.118051013434338,0,10
"49",54,0,0,5.57586511806322e-05,0,0,0,0,0,0.00325921800311803,0.959518739448419
"50",55,0,0,5.57586511806322e-05,0.000753800105722485,0.0954546025935702,0,0,0,0.0131284406521681,0.93553169308926
"51",56,0,0,5.57586511806322e-05,0.000512436608879088,0.0920335525290518,0,0,0,0.00549559355994106,0.939564090902592
"52",57,0,0,0.243030271143894,2.08869270430312,10,0.100917367435565,10,0.000820835077995639,0,1.91512386321066
"53",58,0,0,0.0465683141778221,0.000671661519530562,0.186422188273564,0.00178403651463735,0.434975265311257,0.000639683078595086,0.0301503510338758,0.684022319862396
"54",59,0,0,5.57586511806322e-05,0.000474985070241323,0.0965093896840797,0,0,0,0.000682790811999231,2.43064099712635
"55",60,0,0,0.0523582081858169,0.000696728368760933,0.244053165763519,0.00244734486759493,0.520466003742819,0.00140872749846476,7.07904621939277e-06,0.471314358917702
"56",61,0,0,0.0387484797649374,0.000695483579143889,0.189161708777638,0.00174355423629097,0.35391243232583,4.33680868994202e-19,0.038813698720242,0.921784178834541
"57",62,0,0,0.0016154047302876,10.436497954088,7.32258742083387,34623411.9764707,0,585.815760895957,659.73097628116,0
"58",63,0,0,0.0100288496008493,15.3969418818353,10,162610.957136272,10,838.920087754695,977.736745988321,0
"59",64,0,0,5.57586511806322e-05,0,0,0,0,0,0.000604695161179128,0.771281110749081
"60",66,0,0,0.0692725634578241,5.83100979199858,10,0.392668904798489,10,1938.6851002426,1508.34929627149,0
"61",67,0,0,0.00635882043263018,1.14720362477566,3.53259517621646,1.70745976651286,3.10349767375505,1.69953865358833,0.0360603249243747,3.83604008068622
"62",68,0,0,5.57586511806322e-05,0.00077589686009208,0.0506878401373114,0,0,0,0.00890203968569417,0.872151939252493
"63",69,0,0,5.57586511806322e-05,0.247991673061089,0.201597477843624,0.202306938612419,0,0,0.0330707564059097,4.1822024367494
"64",70,0,0,0.0370176819322146,1.01679331956876,10,489373.243131396,10,2979.3712970738,3150.44625440532,0
"65",71,0,0,0.0242041907571885,1.82396011275451,10,3444268.56559906,10,2506.98026849576,2517.32128679621,0
"66",72,0,0,5.57586511806322e-05,0.0142676550309501,4.26135964295714,0.281199107038196,0,0.281193272371476,0,0
"67",73,0,0,0.0525132903894576,2.57454985085976,10,1488559.48079673,9.99999997780177,4523.70427650378,4859.0458765608,10
"68",74,0,0,0.0187308803042769,0.000711682319327086,0.205677876378102,0.0017950563715147,0.180608653537193,0.000913735493393131,0.0488829383253619,0.593215621757696
"69",75,0,0,5.57586511806322e-05,0.000508161156228861,0.168300429992521,0,0,0,0.000700425382390442,0.978906241496556
"70",76,0,0,5.57586511806322e-05,0,0,0,0,0,0.00645165871568005,0.933510752557639
"71",77,0,0,5.57586511806322e-05,0.000512343033109912,0.0958905639498228,0,0,0,0.0125191937307967,0.96803598427236
"72",78,0,0,0.0485020830845179,237109.352720904,10,0.553976571413791,10,0.553976422289502,0,10
"73",79,0,0,0.0678456582246679,0.577681808938128,10,1495905.39485147,0,3247.44034904463,3172.76069527834,0
"74",80,0,0,5.57586511806322e-05,0.0230003545038728,3.51226730342391,0.20792853327989,0,0,0.00097574156917189,2.72900903116206
"75",81,0,0,5.57586511806322e-05,0.000484534456544389,0.118822835076402,0,0,0,0,0
"76",82,0,0,0.0683441041944318,0.810283468192841,10,0.398020344133231,10,0.398017396879848,0,10
"77",83,0,0,0.0582481658104787,2.61901855324692,10,669005.822131772,10,4890.04839493867,4770.86298730381,0
"78",84,0,0,5.57586511806322e-05,0.000482918862010502,0.127381328985315,0,0,0,0.0357716917434866,0.902706267130289
"79",85,0,0,0.226131933502661,2.42286320019043,10,0.104469713077708,10,0.00367380078584611,0,2.51824891531082
"80",86,0,0,0.0549240400791112,1.09938130947431,10,518066.03371286,10,3883.2086263672,3804.79798211696,10
"81",87,0,0,0.0514599267421747,0.0006771200946684,0.248389078152767,0.00283133362848272,0.532313204340297,0.000919454981889451,0.0215969027862674,1.03855623051461
"82",88,0,0,0.211549035171368,2.11205830154611,10,0.120337571863485,10,0.120337361734768,0,10
