"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34"
"44","111","122","333","211","13","27","2","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111"
"45","333","111","111","111","1","1","1","0.345","0.328","0.328","-1","-1","-1","-1","-1","-1","0.333","0.333","0.333","-1","-1","-1","-1","-1","-1","0.333","0.333","0.333","-1","-1","-1","-1","-1","-1"
"46","321","212","112","332","11","10","18","0.219","0.151","0.082","0.205","0.164","0.178","-1","-1","-1","0.189","0.164","0.171","0.152","0.152","0.171","-1","-1","-1","0.166","0.156","0.18","0.16","0.16","0.18","-1","-1","-1"
"47","333","111","111","111","1","1","1","0.353","0.275","0.373","-1","-1","-1","-1","-1","-1","0.333","0.333","0.333","-1","-1","-1","-1","-1","-1","0.333","0.333","0.333","-1","-1","-1","-1","-1","-1"
"48","22a2a","311","311","233","3","3","26","0.154","0.185","0.108","0.154","0.215","0.185","-1","-1","-1","0.139","0.194","0.139","0.194","0.139","0.194","-1","-1","-1","0.13","0.203","0.13","0.203","0.13","0.203","-1","-1","-1"
"49","22a1","122","333","313","13","27","21","0.203","0.119","0.153","0.102","0.169","0.136","0.119","-1","-1","0.137","0.156","0.137","0.156","0.128","0.128","0.156","-1","-1","0.126","0.162","0.126","0.162","0.13","0.13","0.162","-1","-1"
"50","321","123","213","313","22","20","21","0.202","0.112","0.202","0.135","0.191","0.157","-1","-1","-1","0.189","0.171","0.164","0.171","0.152","0.152","-1","-1","-1","0.166","0.18","0.156","0.18","0.16","0.16","-1","-1","-1"
"51","321","321","331","312","6","9","12","0.203","0.136","0.169","0.169","0.203","0.119","-1","-1","-1","0.189","0.152","0.152","0.171","0.164","0.171","-1","-1","-1","0.166","0.16","0.16","0.18","0.156","0.18","-1","-1","-1"
"52","311","123","221","322","22","5","15","0.145","0.145","0.101","0.101","0.145","0.174","0.188","-1","-1","0.171","0.138","0.138","0.138","0.138","0.138","0.138","-1","-1","0.144","0.143","0.143","0.143","0.143","0.143","0.143","-1","-1"
"53","111","331","212","123","9","11","22","0.123","0.14","0.088","0.105","0.123","0.07","0.14","0.123","0.088","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111"
"54","22b1","133","231","212","25","8","11","0.222","0.156","0.156","0.133","0.111","0.133","0.089","-1","-1","0.152","0.142","0.152","0.142","0.128","0.142","0.142","-1","-1","0.139","0.147","0.139","0.147","0.133","0.147","0.147","-1","-1"
"55","22b1","322","331","212","15","9","11","0.103","0.205","0.179","0.154","0.128","0.128","0.103","-1","-1","0.152","0.142","0.152","0.142","0.128","0.142","0.142","-1","-1","0.139","0.147","0.139","0.147","0.133","0.147","0.147","-1","-1"
"56","22a2a","123","123","211","22","22","2","0.196","0.196","0.098","0.157","0.235","0.118","-1","-1","-1","0.139","0.194","0.139","0.194","0.139","0.194","-1","-1","-1","0.13","0.203","0.13","0.203","0.13","0.203","-1","-1","-1"
"57","321","232","222","312","17","14","12","0.289","0.089","0.156","0.222","0.133","0.111","-1","-1","-1","0.189","0.152","0.152","0.171","0.164","0.171","-1","-1","-1","0.166","0.16","0.16","0.18","0.156","0.18","-1","-1","-1"
"58","333","332","332","332","18","18","18","0.339","0.321","0.339","-1","-1","-1","-1","-1","-1","0.333","0.333","0.333","-1","-1","-1","-1","-1","-1","0.333","0.333","0.333","-1","-1","-1","-1","-1","-1"
"59","311","213","112","311","20","10","3","0.127","0.127","0.19","0.19","0.127","0.159","0.079","-1","-1","0.171","0.138","0.138","0.138","0.138","0.138","0.138","-1","-1","0.144","0.143","0.143","0.143","0.143","0.143","0.143","-1","-1"
"60","22a2b","221","211","113","5","2","19","0.206","0.127","0.222","0.19","0.095","0.159","-1","-1","-1","0.157","0.176","0.157","0.176","0.176","0.158","-1","-1","-1","0.151","0.185","0.151","0.185","0.166","0.162","-1","-1","-1"
"61","322a","211","113","113","2","19","19","0.206","0.176","0.191","0.221","0.206","-1","-1","-1","-1","0.213","0.171","0.222","0.171","0.222","-1","-1","-1","-1","0.194","0.169","0.235","0.169","0.235","-1","-1","-1","-1"
"62","22a2b","211","212","322","2","11","15","0.187","0.154","0.176","0.176","0.165","0.143","-1","-1","-1","0.157","0.176","0.157","0.176","0.176","0.158","-1","-1","-1","0.151","0.185","0.151","0.185","0.166","0.162","-1","-1","-1"
"63","322b","131","133","121","7","25","4","0.19","0.203","0.177","0.215","0.215","-1","-1","-1","-1","0.214","0.196","0.197","0.196","0.197","-1","-1","-1","-1","0.197","0.193","0.208","0.193","0.208","-1","-1","-1","-1"
"64","22a2b","131","221","222","7","5","14","0.169","0.191","0.18","0.146","0.157","0.157","-1","-1","-1","0.157","0.176","0.157","0.176","0.176","0.158","-1","-1","-1","0.151","0.185","0.151","0.185","0.166","0.162","-1","-1","-1"
"65","321","231","331","111","8","9","1","0.149","0.149","0.181","0.17","0.181","0.17","-1","-1","-1","0.189","0.164","0.171","0.152","0.152","0.171","-1","-1","-1","0.166","0.156","0.18","0.16","0.16","0.18","-1","-1","-1"
"66","22a1","121","321","213","4","6","20","0.162","0.144","0.117","0.153","0.135","0.144","0.144","-1","-1","0.137","0.156","0.137","0.156","0.128","0.128","0.156","-1","-1","0.126","0.162","0.126","0.162","0.13","0.13","0.162","-1","-1"
"67","22a2a","123","312","312","22","12","12","0.174","0.152","0.163","0.174","0.152","0.185","-1","-1","-1","0.139","0.194","0.139","0.194","0.139","0.194","-1","-1","-1","0.13","0.203","0.13","0.203","0.13","0.203","-1","-1","-1"
"68","332","122","122","132","13","13","16","0.23","0.262","0.262","0.246","-1","-1","-1","-1","-1","0.256","0.256","0.224","0.263","-1","-1","-1","-1","-1","0.245","0.245","0.231","0.278","-1","-1","-1","-1","-1"
"69","22a2a","311","311","122","3","3","13","0.178","0.156","0.178","0.178","0.144","0.167","-1","-1","-1","0.139","0.194","0.139","0.194","0.139","0.194","-1","-1","-1","0.13","0.203","0.13","0.203","0.13","0.203","-1","-1","-1"
"70","22a1","323","123","231","24","22","8","0.127","0.136","0.155","0.164","0.145","0.127","0.145","-1","-1","0.137","0.156","0.137","0.156","0.128","0.128","0.156","-1","-1","0.126","0.162","0.126","0.162","0.13","0.13","0.162","-1","-1"
"71","211","313","232","131","21","17","7","0.123","0.115","0.115","0.138","0.115","0.131","0.123","0.138","-1","0.134","0.13","0.119","0.119","0.13","0.119","0.119","0.13","-1","0.119","0.133","0.12","0.12","0.133","0.12","0.12","0.133","-1"
"72","22a2a","131","213","213","7","20","20","0.168","0.168","0.188","0.158","0.158","0.158","-1","-1","-1","0.139","0.194","0.139","0.194","0.139","0.194","-1","-1","-1","0.13","0.203","0.13","0.203","0.13","0.203","-1","-1","-1"
"73","333","233","233","233","26","26","26","0.271","0.354","0.375","-1","-1","-1","-1","-1","-1","0.333","0.333","0.333","-1","-1","-1","-1","-1","-1","0.333","0.333","0.333","-1","-1","-1","-1","-1","-1"
"74","22b1","123","333","311","22","27","3","0.13","0.139","0.122","0.148","0.157","0.157","0.148","-1","-1","0.152","0.142","0.152","0.142","0.128","0.142","0.142","-1","-1","0.139","0.147","0.139","0.147","0.133","0.147","0.147","-1","-1"
"75","22a2a","113","113","321","19","19","6","0.155","0.206","0.175","0.165","0.144","0.155","-1","-1","-1","0.139","0.194","0.139","0.194","0.139","0.194","-1","-1","-1","0.13","0.203","0.13","0.203","0.13","0.203","-1","-1","-1"
"76","322b","223","222","212","23","14","11","0.019","0.226","0.226","0.226","0.302","-1","-1","-1","-1","0.214","0.196","0.197","0.196","0.197","-1","-1","-1","-1","0.197","0.193","0.208","0.193","0.208","-1","-1","-1","-1"
"77","321","331","321","312","9","6","12","0.021","0.208","0.208","0.198","0.156","0.208","-1","-1","-1","0.189","0.152","0.152","0.171","0.164","0.171","-1","-1","-1","0.166","0.16","0.16","0.18","0.156","0.18","-1","-1","-1"
