"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34"
"658","311","311","323","332","3","24","18","0","0.146","0.155","0.194","0.175","0.155","0.175","-1","-1","0.171","0.138","0.138","0.138","0.138","0.138","0.138","-1","-1","0.144","0.143","0.143","0.143","0.143","0.143","0.143","-1","-1"
"659","22a1","121","221","313","4","5","21","0","0.207","0","0.217","0.196","0.196","0.185","-1","-1","0.137","0.156","0.137","0.156","0.128","0.128","0.156","-1","-1","0.126","0.162","0.126","0.162","0.13","0.13","0.162","-1","-1"
"660","322b","312","313","212","12","21","11","0","0","0.5","0","0.5","-1","-1","-1","-1","0.214","0.196","0.197","0.196","0.197","-1","-1","-1","-1","0.197","0.193","0.208","0.193","0.208","-1","-1","-1","-1"
"661","333","131","131","131","7","7","7","0.238","0.286","0.476","-1","-1","-1","-1","-1","-1","0.333","0.333","0.333","-1","-1","-1","-1","-1","-1","0.333","0.333","0.333","-1","-1","-1","-1","-1","-1"
"662","22a1","131","222","223","7","14","23","0.075","0.085","0.085","0.189","0.189","0.189","0.189","-1","-1","0.137","0.156","0.137","0.156","0.128","0.128","0.156","-1","-1","0.126","0.162","0.126","0.162","0.13","0.13","0.162","-1","-1"
"663","111","113","231","322","19","8","15","0.028","0.14","0.14","0.028","0.105","0.14","0.14","0.14","0.14","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111"
"664","322b","223","323","221","23","24","5","0","0","0.5","0","0.5","-1","-1","-1","-1","0.214","0.196","0.197","0.196","0.197","-1","-1","-1","-1","0.197","0.193","0.208","0.193","0.208","-1","-1","-1","-1"
"665","22a2a","112","233","233","10","26","26","0.268","0.056","0.056","0.282","0.056","0.282","-1","-1","-1","0.139","0.194","0.139","0.194","0.139","0.194","-1","-1","-1","0.13","0.203","0.13","0.203","0.13","0.203","-1","-1","-1"
"666","22a2a","222","311","311","14","3","3","0.072","0.232","0.072","0.072","0.261","0.29","-1","-1","-1","0.139","0.194","0.139","0.194","0.139","0.194","-1","-1","-1","0.13","0.203","0.13","0.203","0.13","0.203","-1","-1","-1"
"667","111","233","321","112","26","6","10","0.122","0.122","0.03","0.122","0.122","0.116","0.122","0.122","0.122","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111"
"668","322b","332","322","323","18","15","24","0","0.062","0.312","0.312","0.312","-1","-1","-1","-1","0.214","0.196","0.197","0.196","0.197","-1","-1","-1","-1","0.197","0.193","0.208","0.193","0.208","-1","-1","-1","-1"
"669","332","122","122","132","13","13","16","0.128","0.128","0.319","0.426","-1","-1","-1","-1","-1","0.256","0.256","0.224","0.263","-1","-1","-1","-1","-1","0.245","0.245","0.231","0.278","-1","-1","-1","-1","-1"
"670","321","123","133","313","22","25","21","0.012","0.25","0.25","0.25","0","0.238","-1","-1","-1","0.189","0.152","0.152","0.171","0.164","0.171","-1","-1","-1","0.166","0.16","0.16","0.18","0.156","0.18","-1","-1","-1"
"671","211","222","113","131","14","19","7","0","0.144","0.144","0.137","0.144","0.144","0.144","0.144","-1","0.134","0.13","0.119","0.119","0.13","0.119","0.119","0.13","-1","0.119","0.133","0.12","0.12","0.133","0.12","0.12","0.133","-1"
"672","322b","113","123","313","19","22","21","0","0.245","0.377","0","0.377","-1","-1","-1","-1","0.214","0.196","0.197","0.196","0.197","-1","-1","-1","-1","0.197","0.193","0.208","0.193","0.208","-1","-1","-1","-1"
"673","321","322","321","333","15","6","27","0","0","0.333","0.333","0.333","0","-1","-1","-1","0.189","0.164","0.171","0.152","0.152","0.171","-1","-1","-1","0.166","0.156","0.18","0.16","0.16","0.18","-1","-1","-1"
"674","321","131","333","233","7","27","26","0","0","0.333","0.333","0.333","0","-1","-1","-1","0.189","0.171","0.152","0.152","0.171","0.164","-1","-1","-1","0.166","0.18","0.16","0.16","0.18","0.156","-1","-1","-1"
"675","321","131","121","211","7","4","2","0.056","0.282","0.282","0.282","0.028","0.07","-1","-1","-1","0.189","0.152","0.152","0.171","0.164","0.171","-1","-1","-1","0.166","0.16","0.16","0.18","0.156","0.18","-1","-1","-1"
"676","22a2a","232","232","111","17","17","1","0.185","0","0.037","0.704","0.037","0.037","-1","-1","-1","0.139","0.194","0.139","0.194","0.139","0.194","-1","-1","-1","0.13","0.203","0.13","0.203","0.13","0.203","-1","-1","-1"
"677","211","332","121","211","18","4","2","0.366","0.024","0.463","0.024","0","0.098","0","0.024","-1","0.134","0.13","0.119","0.119","0.13","0.119","0.119","0.13","-1","0.119","0.133","0.12","0.12","0.133","0.12","0.12","0.133","-1"
"678","322a","111","312","312","1","12","12","0.864","0","0.045","0.045","0.045","-1","-1","-1","-1","0.213","0.171","0.222","0.171","0.222","-1","-1","-1","-1","0.194","0.169","0.235","0.169","0.235","-1","-1","-1","-1"
"679","322b","222","212","112","14","11","10","0.463","0.463","0.024","0.049","0","-1","-1","-1","-1","0.214","0.196","0.197","0.196","0.197","-1","-1","-1","-1","0.197","0.193","0.208","0.193","0.208","-1","-1","-1","-1"
"680","321","221","311","111","5","3","1","0.442","0.023","0.442","0.047","0.023","0.023","-1","-1","-1","0.189","0.171","0.164","0.171","0.152","0.152","-1","-1","-1","0.166","0.18","0.156","0.18","0.16","0.16","-1","-1","-1"
"681","22a2a","123","312","312","22","12","12","0.111","0.037","0.704","0.037","0.074","0.037","-1","-1","-1","0.139","0.194","0.139","0.194","0.139","0.194","-1","-1","-1","0.13","0.203","0.13","0.203","0.13","0.203","-1","-1","-1"
"682","111","311","233","122","3","26","13","0.037","0.037","0.037","0.704","0.037","0.037","0.037","0.037","0.037","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111"
"683","211","213","122","332","20","13","18","0.156","0.022","0.022","0.022","0.422","0.022","0.022","0.311","-1","0.134","0.13","0.119","0.119","0.13","0.119","0.119","0.13","-1","0.119","0.133","0.12","0.12","0.133","0.12","0.12","0.133","-1"
"684","331","211","212","213","2","11","20","0.452","0.476","0.024","0.024","0.024","-1","-1","-1","-1","0.217","0.217","0.189","0.189","0.189","-1","-1","-1","-1","0.199","0.199","0.201","0.201","0.201","-1","-1","-1","-1"
"685","22b2b","311","332","112","3","18","10","0.032","0.032","0.613","0.032","0.032","0.258","-1","-1","-1","0.176","0.157","0.176","0.157","0.157","0.176","-1","-1","-1","0.166","0.167","0.166","0.167","0.167","0.166","-1","-1","-1"
"686","333","211","211","211","2","2","2","0.333","0.333","0.333","-1","-1","-1","-1","-1","-1","0.333","0.333","0.333","-1","-1","-1","-1","-1","-1","0.333","0.333","0.333","-1","-1","-1","-1","-1","-1"
"687","22b1","122","221","311","13","5","3","0.211","0.026","0.211","0.5","0.026","0.026","0","-1","-1","0.152","0.142","0.152","0.142","0.128","0.142","0.142","-1","-1","0.139","0.147","0.139","0.147","0.133","0.147","0.147","-1","-1"
"688","333","213","213","213","20","20","20","0.333","0.333","0.333","-1","-1","-1","-1","-1","-1","0.333","0.333","0.333","-1","-1","-1","-1","-1","-1","0.333","0.333","0.333","-1","-1","-1","-1","-1","-1"
"689","22a2b","313","212","333","21","11","27","0.216","0.027","0.189","0.027","0.514","0.027","-1","-1","-1","0.157","0.176","0.157","0.176","0.176","0.158","-1","-1","-1","0.151","0.185","0.151","0.185","0.166","0.162","-1","-1","-1"
"690","321","212","312","122","11","12","13","0.442","0.442","0.023","0.047","0.023","0.023","-1","-1","-1","0.189","0.164","0.171","0.152","0.152","0.171","-1","-1","-1","0.166","0.156","0.18","0.16","0.16","0.18","-1","-1","-1"
"691","211","233","332","111","26","18","1","0.137","0.147","0.059","0.127","0.157","0.059","0.167","0.147","-1","0.134","0.13","0.119","0.119","0.13","0.119","0.119","0.13","-1","0.119","0.133","0.12","0.12","0.133","0.12","0.12","0.133","-1"
"692","22a2a","113","113","231","19","19","8","0.203","0.275","0.087","0.246","0.087","0.101","-1","-1","-1","0.139","0.194","0.139","0.194","0.139","0.194","-1","-1","-1","0.13","0.203","0.13","0.203","0.13","0.203","-1","-1","-1"
"693","22a1","233","312","311","26","12","3","0.264","0.097","0.083","0.083","0.069","0.208","0.194","-1","-1","0.137","0.156","0.137","0.156","0.128","0.128","0.156","-1","-1","0.126","0.162","0.126","0.162","0.13","0.13","0.162","-1","-1"
"694","22a1","123","323","212","22","24","11","0.17","0.193","0.08","0.148","0.193","0.068","0.148","-1","-1","0.137","0.156","0.137","0.156","0.128","0.128","0.156","-1","-1","0.126","0.162","0.126","0.162","0.13","0.13","0.162","-1","-1"
"695","311","323","133","213","24","25","20","0.171","0.029","0.171","0.1","0.071","0.257","0.2","-1","-1","0.171","0.138","0.138","0.138","0.138","0.138","0.138","-1","-1","0.144","0.143","0.143","0.143","0.143","0.143","0.143","-1","-1"
"696","333","213","213","213","20","20","20","0.317","0.39","0.293","-1","-1","-1","-1","-1","-1","0.333","0.333","0.333","-1","-1","-1","-1","-1","-1","0.333","0.333","0.333","-1","-1","-1","-1","-1","-1"
"697","22a2b","223","323","332","23","24","18","0.203","0.101","0.116","0.217","0.261","0.101","-1","-1","-1","0.157","0.176","0.157","0.176","0.176","0.158","-1","-1","-1","0.151","0.185","0.151","0.185","0.166","0.162","-1","-1","-1"
"698","322a","111","111","313","1","1","21","0.221","0.103","0.235","0.221","0.221","-1","-1","-1","-1","0.213","0.171","0.222","0.171","0.222","-1","-1","-1","-1","0.194","0.169","0.235","0.169","0.235","-1","-1","-1","-1"
"699","22a2a","212","212","333","11","11","27","0.091","0.273","0.106","0.121","0.212","0.197","-1","-1","-1","0.139","0.194","0.139","0.194","0.139","0.194","-1","-1","-1","0.13","0.203","0.13","0.203","0.13","0.203","-1","-1","-1"
"700","22b1","233","131","323","26","7","24","0.169","0.052","0.195","0.234","0.078","0.182","0.091","-1","-1","0.152","0.142","0.152","0.142","0.128","0.142","0.142","-1","-1","0.139","0.147","0.139","0.147","0.133","0.147","0.147","-1","-1"
"701","22a2a","133","133","212","25","25","11","0.091","0.121","0.197","0.091","0.258","0.242","-1","-1","-1","0.139","0.194","0.139","0.194","0.139","0.194","-1","-1","-1","0.13","0.203","0.13","0.203","0.13","0.203","-1","-1","-1"
"702","321","211","313","312","2","21","12","0.093","0.173","0.253","0.08","0.227","0.173","-1","-1","-1","0.189","0.171","0.164","0.171","0.152","0.152","-1","-1","-1","0.166","0.18","0.156","0.18","0.16","0.16","-1","-1","-1"
"703","22a2a","213","131","131","20","7","7","0.056","0.197","0.113","0.268","0.183","0.183","-1","-1","-1","0.139","0.194","0.139","0.194","0.139","0.194","-1","-1","-1","0.13","0.203","0.13","0.203","0.13","0.203","-1","-1","-1"
"704","332","313","323","323","21","24","24","0.122","0.265","0.347","0.265","-1","-1","-1","-1","-1","0.256","0.256","0.263","0.224","-1","-1","-1","-1","-1","0.245","0.245","0.278","0.231","-1","-1","-1","-1","-1"
"705","311","213","123","333","20","22","27","0.081","0.163","0.163","0.186","0.081","0.221","0.105","-1","-1","0.171","0.138","0.138","0.138","0.138","0.138","0.138","-1","-1","0.144","0.143","0.143","0.143","0.143","0.143","0.143","-1","-1"
"706","22a2b","322","222","211","15","14","2","0.286","0.036","0.321","0.036","0.286","0.036","-1","-1","-1","0.157","0.176","0.157","0.176","0.176","0.158","-1","-1","-1","0.151","0.185","0.151","0.185","0.166","0.162","-1","-1","-1"
"707","322b","311","312","331","3","12","9","0.391","0.304","0","0.304","0","-1","-1","-1","-1","0.214","0.196","0.197","0.196","0.197","-1","-1","-1","-1","0.197","0.193","0.208","0.193","0.208","-1","-1","-1","-1"
"708","211","223","322","111","23","15","1","0.889","0","0","0","0","0","0.056","0.056","-1","0.134","0.13","0.119","0.119","0.13","0.119","0.119","0.13","-1","0.119","0.133","0.12","0.12","0.133","0.12","0.12","0.133","-1"
"709","211","211","232","123","2","17","22","0.941","0","0","0.059","0","0","0","0","-1","0.134","0.13","0.119","0.119","0.13","0.119","0.119","0.13","-1","0.119","0.133","0.12","0.12","0.133","0.12","0.12","0.133","-1"
"710","321","211","313","312","2","21","12","0.625","0","0.375","0","0","0","-1","-1","-1","0.189","0.171","0.164","0.171","0.152","0.152","-1","-1","-1","0.166","0.18","0.156","0.18","0.16","0.16","-1","-1","-1"
"711","331","333","233","133","27","26","25","0.394","0.606","0","0","0","-1","-1","-1","-1","0.217","0.217","0.189","0.189","0.189","-1","-1","-1","-1","0.199","0.199","0.201","0.201","0.201","-1","-1","-1","-1"
"712","22a2b","223","323","232","23","24","17","0.341","0","0.341","0","0.318","0","-1","-1","-1","0.157","0.176","0.157","0.176","0.176","0.158","-1","-1","-1","0.151","0.185","0.151","0.185","0.166","0.162","-1","-1","-1"
"713","111","231","313","122","8","21","13","0.5","0","0","0","0","0","0","0.5","0","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111"
"714","22a2a","132","132","213","16","16","20","0.167","0.167","0.167","0.25","0.167","0.083","-1","-1","-1","0.139","0.194","0.139","0.194","0.139","0.194","-1","-1","-1","0.13","0.203","0.13","0.203","0.13","0.203","-1","-1","-1"
"715","332","221","221","222","5","5","14","0.514","0.486","0","0","-1","-1","-1","-1","-1","0.256","0.256","0.224","0.263","-1","-1","-1","-1","-1","0.245","0.245","0.231","0.278","-1","-1","-1","-1","-1"
"716","22a2a","222","131","131","14","7","7","0.4","0","0.2","0","0.4","0","-1","-1","-1","0.139","0.194","0.139","0.194","0.139","0.194","-1","-1","-1","0.13","0.203","0.13","0.203","0.13","0.203","-1","-1","-1"
"717","22a2b","133","111","333","25","1","27","0.4","0.029","0.4","0","0.086","0.086","-1","-1","-1","0.157","0.176","0.157","0.176","0.176","0.158","-1","-1","-1","0.151","0.185","0.151","0.185","0.166","0.162","-1","-1","-1"
"718","22a2a","231","312","312","8","12","12","0.25","0.25","0","0.25","0.25","0","-1","-1","-1","0.139","0.194","0.139","0.194","0.139","0.194","-1","-1","-1","0.13","0.203","0.13","0.203","0.13","0.203","-1","-1","-1"
"719","22a2a","332","332","221","18","18","5","0.167","0.167","0.167","0.167","0.167","0.167","-1","-1","-1","0.139","0.194","0.139","0.194","0.139","0.194","-1","-1","-1","0.13","0.203","0.13","0.203","0.13","0.203","-1","-1","-1"
"720","22a2b","211","111","123","2","1","22","0.341","0","0.341","0","0.318","0","-1","-1","-1","0.157","0.176","0.157","0.176","0.176","0.158","-1","-1","-1","0.151","0.185","0.151","0.185","0.166","0.162","-1","-1","-1"
"721","322a","313","123","123","21","22","22","0.081","0.054","0.405","0.027","0.432","-1","-1","-1","-1","0.213","0.171","0.222","0.171","0.222","-1","-1","-1","-1","0.194","0.169","0.235","0.169","0.235","-1","-1","-1","-1"
"722","322b","331","333","233","9","27","26","0.077","0.077","0.692","0.077","0.077","-1","-1","-1","-1","0.214","0.196","0.197","0.196","0.197","-1","-1","-1","-1","0.197","0.193","0.208","0.193","0.208","-1","-1","-1","-1"
"723","311","321","332","313","6","18","21","0.01","0.167","0.167","0.167","0.157","0.167","0.167","-1","-1","0.171","0.138","0.138","0.138","0.138","0.138","0.138","-1","-1","0.144","0.143","0.143","0.143","0.143","0.143","0.143","-1","-1"
"724","22a2b","331","323","223","9","24","23","0.032","0.29","0.048","0.29","0.048","0.29","-1","-1","-1","0.157","0.176","0.157","0.176","0.176","0.158","-1","-1","-1","0.151","0.185","0.151","0.185","0.166","0.162","-1","-1","-1"
"725","321","211","313","312","2","21","12","0.04","0.24","0.013","0.24","0.24","0.227","-1","-1","-1","0.189","0.171","0.164","0.171","0.152","0.152","-1","-1","-1","0.166","0.18","0.156","0.18","0.16","0.16","-1","-1","-1"
"726","322a","221","221","213","5","5","20","0","0.024","0.439","0.049","0.488","-1","-1","-1","-1","0.213","0.171","0.222","0.171","0.222","-1","-1","-1","-1","0.194","0.169","0.235","0.169","0.235","-1","-1","-1","-1"
"727","22b1","313","322","221","21","15","5","0.022","0.196","0.022","0.174","0.185","0.207","0.196","-1","-1","0.152","0.142","0.152","0.142","0.128","0.142","0.142","-1","-1","0.139","0.147","0.139","0.147","0.133","0.147","0.147","-1","-1"
"728","22a2a","113","113","321","19","19","6","0.033","0.311","0.033","0.295","0.016","0.311","-1","-1","-1","0.139","0.194","0.139","0.194","0.139","0.194","-1","-1","-1","0.13","0.203","0.13","0.203","0.13","0.203","-1","-1","-1"
"729","22a2a","131","213","213","7","20","20","0.031","0.297","0.047","0.281","0.047","0.297","-1","-1","-1","0.139","0.194","0.139","0.194","0.139","0.194","-1","-1","-1","0.13","0.203","0.13","0.203","0.13","0.203","-1","-1","-1"
"730","22a2a","112","233","233","10","26","26","0.032","0.29","0.032","0.306","0.016","0.323","-1","-1","-1","0.139","0.194","0.139","0.194","0.139","0.194","-1","-1","-1","0.13","0.203","0.13","0.203","0.13","0.203","-1","-1","-1"
"731","22a2a","113","321","321","19","6","6","0.049","0.295","0.016","0.311","0.016","0.311","-1","-1","-1","0.139","0.194","0.139","0.194","0.139","0.194","-1","-1","-1","0.13","0.203","0.13","0.203","0.13","0.203","-1","-1","-1"
"732","22a2a","133","133","212","25","25","11","0.034","0.31","0.017","0.31","0.017","0.31","-1","-1","-1","0.139","0.194","0.139","0.194","0.139","0.194","-1","-1","-1","0.13","0.203","0.13","0.203","0.13","0.203","-1","-1","-1"
"733","211","331","133","222","9","25","14","0","0.144","0.136","0.152","0.144","0.144","0.136","0.144","-1","0.134","0.13","0.119","0.119","0.13","0.119","0.119","0.13","-1","0.119","0.133","0.12","0.12","0.133","0.12","0.12","0.133","-1"
"734","22a2b","223","323","331","23","24","9","0.016","0.295","0.033","0.328","0.016","0.311","-1","-1","-1","0.157","0.176","0.157","0.176","0.176","0.158","-1","-1","-1","0.151","0.185","0.151","0.185","0.166","0.162","-1","-1","-1"
"735","332","213","233","233","20","26","26","0","0.043","0.87","0.087","-1","-1","-1","-1","-1","0.256","0.256","0.263","0.224","-1","-1","-1","-1","-1","0.245","0.245","0.278","0.231","-1","-1","-1","-1","-1"
"736","332","222","222","212","14","14","11","0","0.147","0.294","0.559","-1","-1","-1","-1","-1","0.256","0.256","0.224","0.263","-1","-1","-1","-1","-1","0.245","0.245","0.231","0.278","-1","-1","-1","-1","-1"
"737","332","211","211","221","2","2","5","0.028","0.139","0.278","0.556","-1","-1","-1","-1","-1","0.256","0.256","0.224","0.263","-1","-1","-1","-1","-1","0.245","0.245","0.231","0.278","-1","-1","-1","-1","-1"
"738","331","321","221","121","6","5","4","0.035","0.018","0.316","0.316","0.316","-1","-1","-1","-1","0.217","0.217","0.189","0.189","0.189","-1","-1","-1","-1","0.199","0.199","0.201","0.201","0.201","-1","-1","-1","-1"
"739","22a1","221","132","112","5","16","10","0","0.198","0.033","0.198","0.176","0.198","0.198","-1","-1","0.137","0.156","0.137","0.156","0.128","0.128","0.156","-1","-1","0.126","0.162","0.126","0.162","0.13","0.13","0.162","-1","-1"
"740","111","131","322","213","7","15","20","0.114","0.103","0.114","0.114","0.109","0.103","0.114","0.114","0.114","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111"
"741","211","212","313","131","11","21","7","0.029","0.132","0.132","0.132","0.132","0.147","0.147","0.147","-1","0.134","0.13","0.119","0.119","0.13","0.119","0.119","0.13","-1","0.119","0.133","0.12","0.12","0.133","0.12","0.12","0.133","-1"
"742","211","321","233","212","6","26","11","0","0.157","0.102","0.134","0.134","0.157","0.157","0.157","-1","0.134","0.13","0.119","0.119","0.13","0.119","0.119","0.13","-1","0.119","0.133","0.12","0.12","0.133","0.12","0.12","0.133","-1"
"743","332","133","133","233","25","25","26","0","0","0","1","-1","-1","-1","-1","-1","0.256","0.256","0.224","0.263","-1","-1","-1","-1","-1","0.245","0.245","0.231","0.278","-1","-1","-1","-1","-1"
"744","22a2a","112","112","321","10","10","6","0","0.333","0","0.333","0","0.333","-1","-1","-1","0.139","0.194","0.139","0.194","0.139","0.194","-1","-1","-1","0.13","0.203","0.13","0.203","0.13","0.203","-1","-1","-1"
"745","22a2a","322","322","111","15","15","1","0","0.333","0","0.333","0","0.333","-1","-1","-1","0.139","0.194","0.139","0.194","0.139","0.194","-1","-1","-1","0.13","0.203","0.13","0.203","0.13","0.203","-1","-1","-1"
"746","321","121","131","211","4","7","2","0","0.256","0.256","0.218","0.013","0.256","-1","-1","-1","0.189","0.152","0.152","0.171","0.164","0.171","-1","-1","-1","0.166","0.16","0.16","0.18","0.156","0.18","-1","-1","-1"
"747","22a2b","122","312","313","13","12","21","0.152","0.303","0","0.273","0","0.273","-1","-1","-1","0.157","0.176","0.157","0.176","0.176","0.158","-1","-1","-1","0.151","0.185","0.151","0.185","0.166","0.162","-1","-1","-1"
"748","333","223","223","223","23","23","23","0.333","0.333","0.333","-1","-1","-1","-1","-1","-1","0.333","0.333","0.333","-1","-1","-1","-1","-1","-1","0.333","0.333","0.333","-1","-1","-1","-1","-1","-1"
"749","211","221","323","132","5","24","16","0.068","0.136","0.136","0.122","0.136","0.129","0.136","0.136","-1","0.134","0.13","0.119","0.119","0.13","0.119","0.119","0.13","-1","0.119","0.133","0.12","0.12","0.133","0.12","0.12","0.133","-1"
"750","333","111","111","111","1","1","1","0.333","0.333","0.333","-1","-1","-1","-1","-1","-1","0.333","0.333","0.333","-1","-1","-1","-1","-1","-1","0.333","0.333","0.333","-1","-1","-1","-1","-1","-1"
"751","211","123","313","231","22","21","8","0.019","0.159","0.187","0","0.159","0.159","0.168","0.15","-1","0.134","0.13","0.119","0.119","0.13","0.119","0.119","0.13","-1","0.119","0.133","0.12","0.12","0.133","0.12","0.12","0.133","-1"
"752","322b","133","233","223","25","26","23","0","0.016","0.328","0.328","0.328","-1","-1","-1","-1","0.214","0.196","0.197","0.196","0.197","-1","-1","-1","-1","0.197","0.193","0.208","0.193","0.208","-1","-1","-1","-1"
"753","22a2a","323","323","211","24","24","2","0","0.377","0.245","0","0","0.377","-1","-1","-1","0.139","0.194","0.139","0.194","0.139","0.194","-1","-1","-1","0.13","0.203","0.13","0.203","0.13","0.203","-1","-1","-1"
"754","22a2b","133","123","331","25","22","9","0.202","0.202","0","0.202","0.19","0.202","-1","-1","-1","0.157","0.176","0.157","0.176","0.176","0.158","-1","-1","-1","0.151","0.185","0.151","0.185","0.166","0.162","-1","-1","-1"
"755","333","312","312","312","12","12","12","0.333","0.333","0.333","-1","-1","-1","-1","-1","-1","0.333","0.333","0.333","-1","-1","-1","-1","-1","-1","0.333","0.333","0.333","-1","-1","-1","-1","-1","-1"
"756","322a","321","131","131","6","7","7","0","0","0.5","0","0.5","-1","-1","-1","-1","0.213","0.171","0.222","0.171","0.222","-1","-1","-1","-1","0.194","0.169","0.235","0.169","0.235","-1","-1","-1","-1"
"757","22a2b","322","331","131","15","9","7","0.036","0.241","0","0.241","0.241","0.241","-1","-1","-1","0.157","0.176","0.157","0.176","0.176","0.158","-1","-1","-1","0.151","0.185","0.151","0.185","0.166","0.162","-1","-1","-1"
"758","22a2a","332","332","223","18","18","23","0","0.333","0","0.333","0","0.333","-1","-1","-1","0.139","0.194","0.139","0.194","0.139","0.194","-1","-1","-1","0.13","0.203","0.13","0.203","0.13","0.203","-1","-1","-1"
"759","22a2a","231","122","122","8","13","13","0","0.333","0","0.333","0","0.333","-1","-1","-1","0.139","0.194","0.139","0.194","0.139","0.194","-1","-1","-1","0.13","0.203","0.13","0.203","0.13","0.203","-1","-1","-1"
"760","333","223","223","223","23","23","23","0.333","0.333","0.333","-1","-1","-1","-1","-1","-1","0.333","0.333","0.333","-1","-1","-1","-1","-1","-1","0.333","0.333","0.333","-1","-1","-1","-1","-1","-1"
"761","321","213","113","311","20","19","3","0.012","0.247","0.247","0.247","0","0.247","-1","-1","-1","0.189","0.152","0.152","0.171","0.164","0.171","-1","-1","-1","0.166","0.16","0.16","0.18","0.156","0.18","-1","-1","-1"
"762","22a2b","132","233","223","16","26","23","0","0.333","0","0.333","0","0.333","-1","-1","-1","0.157","0.176","0.157","0.176","0.176","0.158","-1","-1","-1","0.151","0.185","0.151","0.185","0.166","0.162","-1","-1","-1"
"763","311","312","232","122","12","17","13","0","0","0.2","0.2","0.2","0.2","0.2","-1","-1","0.171","0.138","0.138","0.138","0.138","0.138","0.138","-1","-1","0.144","0.143","0.143","0.143","0.143","0.143","0.143","-1","-1"
"764","211","121","212","313","4","11","21","0","0.143","0.143","0.143","0.143","0.143","0.143","0.143","-1","0.134","0.13","0.119","0.119","0.13","0.119","0.119","0.13","-1","0.119","0.133","0.12","0.12","0.133","0.12","0.12","0.133","-1"
"765","321","133","232","332","25","17","18","0","0.25","0.25","0.25","0.25","0","-1","-1","-1","0.189","0.171","0.152","0.152","0.171","0.164","-1","-1","-1","0.166","0.18","0.16","0.16","0.18","0.156","-1","-1","-1"
"766","321","321","131","111","6","7","1","0.571","0","0","0","0","0.429","-1","-1","-1","0.189","0.171","0.152","0.152","0.171","0.164","-1","-1","-1","0.166","0.18","0.16","0.16","0.18","0.156","-1","-1","-1"
"767","322a","223","313","313","23","21","21","0.571","0","0","0.429","0","-1","-1","-1","-1","0.213","0.171","0.222","0.171","0.222","-1","-1","-1","-1","0.194","0.169","0.235","0.169","0.235","-1","-1","-1","-1"
"768","22b1","233","131","313","26","7","21","0.5","0","0.5","0","0","0","0","-1","-1","0.152","0.142","0.152","0.142","0.128","0.142","0.142","-1","-1","0.139","0.147","0.139","0.147","0.133","0.147","0.147","-1","-1"
"769","333","313","313","313","21","21","21","0.333","0.333","0.333","-1","-1","-1","-1","-1","-1","0.333","0.333","0.333","-1","-1","-1","-1","-1","-1","0.333","0.333","0.333","-1","-1","-1","-1","-1","-1"
"770","333","222","222","222","14","14","14","0.333","0.333","0.333","-1","-1","-1","-1","-1","-1","0.333","0.333","0.333","-1","-1","-1","-1","-1","-1","0.333","0.333","0.333","-1","-1","-1","-1","-1","-1"
"771","22b1","313","133","231","21","25","8","0.5","0","0.5","0","0","0","0","-1","-1","0.152","0.142","0.152","0.142","0.128","0.142","0.142","-1","-1","0.139","0.147","0.139","0.147","0.133","0.147","0.147","-1","-1"
"772","322b","213","212","112","20","11","10","0.385","0.308","0","0.308","0","-1","-1","-1","-1","0.214","0.196","0.197","0.196","0.197","-1","-1","-1","-1","0.197","0.193","0.208","0.193","0.208","-1","-1","-1","-1"
"773","311","311","322","333","3","15","27","1","0","0","0","0","0","0","-1","-1","0.171","0.138","0.138","0.138","0.138","0.138","0.138","-1","-1","0.144","0.143","0.143","0.143","0.143","0.143","0.143","-1","-1"
"774","322b","121","131","132","4","7","16","0.385","0.308","0","0.308","0","-1","-1","-1","-1","0.214","0.196","0.197","0.196","0.197","-1","-1","-1","-1","0.197","0.193","0.208","0.193","0.208","-1","-1","-1","-1"
"775","22a2a","221","221","312","5","5","12","0.333","0","0.333","0","0.333","0","-1","-1","-1","0.139","0.194","0.139","0.194","0.139","0.194","-1","-1","-1","0.13","0.203","0.13","0.203","0.13","0.203","-1","-1","-1"
"776","211","112","213","331","10","20","9","1","0","0","0","0","0","0","0","-1","0.134","0.13","0.119","0.119","0.13","0.119","0.119","0.13","-1","0.119","0.133","0.12","0.12","0.133","0.12","0.12","0.133","-1"
"777","333","213","213","213","20","20","20","0.333","0.333","0.333","-1","-1","-1","-1","-1","-1","0.333","0.333","0.333","-1","-1","-1","-1","-1","-1","0.333","0.333","0.333","-1","-1","-1","-1","-1","-1"
