"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"33",34,0,-1.48184214745232,5.41412964477164,0,0,285766.055215996,10,0,0,0,0,0
"34",36,0,-4.44089209850063e-16,9.51891388348524,0,0,0,7.00286895545796e-16,0,0,0,0,0
"35",38,0,-0.74338048545892,6.13952589773977,0,0,434141.218903344,10,0,0,0,0,0
"36",39,0,-1.33226762955019e-15,1.51740050469674,0,0,0.000834678333086959,0.238403942859916,0,0,0,0,0
"37",40,0,-1.33226762955019e-15,-1.4210854715202e-14,0,0,0,6.12381730636598e-15,0,0,0,0,0
"38",41,0,-3.89398212191675,2.13655672913371,0,0,0.000745782083844796,2.53180464794049,0,0,0,0,0
"39",42,0,-5.18857264619527,-9.99992631970616,0,0,3848182.4767186,-10,0,0,0,0,0
"40",43,0,-7.44707708417859,9.99992631970616,0,0,504377.345258168,10,0,0,0,0,0
"41",44,0,6.86512754607646,-2.63030188877183,0,0,1.20045249939933,10,0,0,0,0,0
"42",45,0,-0.510846973738883,-4.47572815494354,0,0,1.33663434427952,10,0,0,0,0,0
"43",46,0,-9.99992631970616,2.92053088090472,0,0,1.06855656995244,10,0,0,0,0,0
"44",47,0,4.44089209850063e-16,7.40403233173205,0,0,3.80452899287835,5.70919291807072e-07,0,0,0,0,0
"45",49,0,-9.99992631970616,2.67899242119544,0,0,0.000691178748087572,1.54447936198479,0,0,0,0,0
"46",51,0,-4.44089209850063e-15,5.87803100645977,0,0,516619.331352117,9.99999944354456,0,0,0,0,0
"47",52,0,-1.33226762955019e-15,-4.93860068045571,0,0,0.213203369114682,2.76370904436564e-11,0,0,0,0,0
"48",53,0,2.22044604925031e-15,-1.33226762955019e-15,0,0,0,-2.55864511916077e-15,0,0,0,0,0
"49",54,0,-7.13489275326171,7.38114835022677,0,0,158915888.387051,-10,0,0,0,0,0
"50",55,0,-2.89286908545695,-5.23506891445459,0,0,1207483.8003059,10,0,0,0,0,0
"51",56,0,0,-1.33226762955019e-15,0,0,0,5.7131005638305e-15,0,0,0,0,0
"52",57,0,-4.44089209850063e-16,8.81869944220497,0,0,0.474738997806177,-8.75504685392541e-10,0,0,0,0,0
"53",58,0,4.77454069242755,9.99992631970616,0,0,981134.862842484,10,0,0,0,0,0
"54",59,0,-3.9258247721981,5.98663186401848,0,0,1499592.90560446,10,0,0,0,0,0
"55",60,0,-1.68557725470232,2.77963210120843,0,0,0.000494416452451564,0.418734255971506,0,0,0,0,0
"56",61,0,-0.307393231313387,-1.21724852419902e-12,0,0,0.396418004525495,-1.08757333010781e-06,0,0,0,0,0
"57",62,0,-4.18762821521754,8.7920514026999,0,0,8150364.05034716,10,0,0,0,0,0
"58",63,0,-9.87446804767765,2.53546119312378,0,0,0.000652310793174123,1.06917126336577,0,0,0,0,0
"59",64,0,-3.21650746558131,2.89009853964955,0,0,0.000867867856290834,1.56279333873565,0,0,0,0,0
"60",65,0,-9.99992631970616,2.23074510901414,0,0,0.000696302022931723,5.48181832681335,0,0,0,0,0
"61",66,0,-5.09866062661262,-2.23268828338038,0,0,0.00066829476862798,0.731575695231422,0,0,0,0,0
"62",67,0,-9.99992631970616,-2.89992850031176,0,0,414855.931843618,9.99999852180552,0,0,0,0,0
"63",68,0,-9.99992631970616,2.74810290696209,0,0,0.000881914142381913,1.72414784126118,0,0,0,0,0
"64",69,0,3.10862446895044e-15,2.04281036531029e-14,0,0,0,-2.39324764811144e-15,0,0,0,0,0
"65",70,0,-8.1304612121384,2.66534175307647,0,0,0.000984774636913093,1.30065761441002,0,0,0,0,0
"66",71,0,-1.77635683940025e-15,5.69778702610301,0,0,340665.148459453,10,0,0,0,0,0
"67",72,0,-3.44384816342241,-0.547270000234037,0,0,567492.119453444,10,0,0,0,0,0
"68",73,0,-4.78674676503707,2.30788019576346,0,0,0.000625006221358917,0.780872491636916,0,0,0,0,0
"69",74,0,2.0059373458284,9.99992631970616,0,0,913812.163300399,-10,0,0,0,0,0
"70",75,0,4.44089209850063e-16,-1.55431223447522e-14,0,0,0.00081183950807064,0.19718155524751,0,0,0,0,0
"71",76,0,0,7.08363188263692,0,0,0,5.27112654537613e-14,0,0,0,0,0
"72",77,0,2.22044604925031e-15,-4.04121180963557e-14,0,0,0,-1.78421518934351e-14,0,0,0,0,0
"73",78,0,-3.13003892325217,2.83012092924436,0,0,1.05321789270781,10,0,0,0,0,0
"74",79,0,-4.85502062145372,-5.92190352811377,0,0,796189.581851168,-10,0,0,0,0,0
