"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"114","0.116","0.116","0.137","0.116","0.116","0.137","0.123","0.137","-1","211","223","111","331","23","1","9"
"115","0.172","0.161","0.172","0.161","0.161","0.172","-1","-1","-1","22b2b","212","223","122","11","23","13"
"116","0.172","0.161","0.172","0.161","0.161","0.172","-1","-1","-1","22b2b","313","212","223","21","11","23"
"117","0.333","0.333","0.333","-1","-1","-1","-1","-1","-1","333","133","133","133","25","25","25"
"118","0.25","0.25","0.286","0.214","-1","-1","-1","-1","-1","332","323","322","322","24","15","15"
"119","0.118","0.215","0.118","0.215","0.118","0.215","-1","-1","-1","22a2a","211","123","123","2","22","22"
"120","0.118","0.215","0.118","0.215","0.118","0.215","-1","-1","-1","22a2a","221","333","333","5","27","27"
"121","0.333","0.333","0.333","-1","-1","-1","-1","-1","-1","333","111","111","111","1","1","1"
"122","0.333","0.333","0.333","-1","-1","-1","-1","-1","-1","333","313","313","313","21","21","21"
"123","0.222","0.158","0.171","0.139","0.139","0.171","-1","-1","-1","321","313","113","223","21","19","23"
"124","0.222","0.171","0.158","0.171","0.139","0.139","-1","-1","-1","321","221","311","111","5","3","1"
"125","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","111","211","332","123","2","18","22"
"126","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","111","232","321","113","17","6","19"
"127","0.114","0.114","0.134","0.14","0.134","0.114","0.114","0.134","-1","211","322","223","131","15","23","7"
"128","0.238","0.238","0.175","0.175","0.175","-1","-1","-1","-1","331","231","233","232","8","26","17"
"129","0.188","0.145","0.188","0.145","0.145","0.188","-1","-1","-1","22b2b","213","231","311","20","8","3"
"130","0.236","0.194","0.188","0.194","0.188","-1","-1","-1","-1","322b","333","332","232","27","18","17"
"131","0.113","0.113","0.332","0.443","-1","-1","-1","-1","-1","332","221","221","321","5","5","6"
"132","0.333","0.333","0.333","-1","-1","-1","-1","-1","-1","333","131","131","131","7","7","7"
"133","0.066","0.197","0.138","0.138","0.197","0.066","0.197","-1","-1","22a1","231","323","313","8","24","21"
"134","0.031","0.186","0.298","0.186","0.298","-1","-1","-1","-1","322a","332","122","122","18","13","13"
"135","0.113","0.113","0.443","0.332","-1","-1","-1","-1","-1","332","332","331","331","18","9","9"
"136","0.128","0.128","0.151","0.035","0.151","0.128","0.128","0.151","-1","211","133","311","212","25","3","11"
"137","0.118","0.215","0.118","0.215","0.118","0.215","-1","-1","-1","22a2a","232","232","111","17","17","1"
"138","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","111","223","331","112","23","9","10"
"139","0.017","0.087","0.247","0.201","0.201","0.247","-1","-1","-1","321","112","113","121","10","19","4"
"140","0.118","0.215","0.118","0.215","0.118","0.215","-1","-1","-1","22a2a","313","131","131","21","7","7"
"141","0","0.269","0.218","0.218","0.269","0.025","-1","-1","-1","321","123","132","112","22","16","10"
"142","0.118","0.215","0.118","0.215","0.118","0.215","-1","-1","-1","22a2a","323","323","112","24","24","10"
"143","0.118","0.215","0.118","0.215","0.118","0.215","-1","-1","-1","22a2a","311","233","233","3","26","26"
"144","0.333","0.333","0.333","-1","-1","-1","-1","-1","-1","333","213","213","213","20","20","20"
"145","0.023","0.217","0.023","0.217","0.152","0.152","0.217","-1","-1","22a1","222","131","133","14","7","25"
"146","0.118","0.215","0.118","0.215","0.118","0.215","-1","-1","-1","22a2a","211","323","323","2","24","24"
"147","0.003","0.033","0.466","0.033","0.466","-1","-1","-1","-1","322b","132","112","332","16","10","18"
"148","0.004","0.206","0.169","0.206","0.206","0.004","0.206","-1","-1","22b1","332","212","221","18","11","5"
"149","0","0.025","0.269","0.218","0.218","0.269","-1","-1","-1","321","331","332","133","9","18","25"
"150","0.005","0.156","0.132","0.132","0.156","0.132","0.132","0.156","-1","211","222","211","133","14","2","25"
"151","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","111","113","231","322","19","8","15"
"152","0.463","0.016","0.463","0.016","0.013","0.016","0.016","-1","-1","22b1","121","132","233","4","16","26"
"153","0.831","0.076","0.008","0.076","0.008","-1","-1","-1","-1","322b","321","322","311","6","15","3"
"154","0.118","0.215","0.118","0.215","0.118","0.215","-1","-1","-1","22a2a","122","122","213","13","13","20"
"155","0.093","0.017","0.093","0.017","0.767","0.014","-1","-1","-1","22a2b","321","322","131","6","15","7"
"156","0.093","0.017","0.093","0.017","0.767","0.014","-1","-1","-1","22a2b","233","123","232","26","22","17"
"157","0.333","0.333","0.333","-1","-1","-1","-1","-1","-1","333","222","222","222","14","14","14"
"158","0.463","0.016","0.463","0.016","0.013","0.016","0.016","-1","-1","22b1","222","321","313","14","6","21"
"159","0.118","0.215","0.118","0.215","0.118","0.215","-1","-1","-1","22a2a","323","323","112","24","24","10"
"160","0.013","0.016","0.016","0.463","0.016","0.463","0.016","-1","-1","22b1","132","322","233","16","15","26"
"161","0.147","0.062","0.147","0.062","0.532","0.051","-1","-1","-1","22a2b","312","313","122","12","21","13"
"162","0.118","0.215","0.118","0.215","0.118","0.215","-1","-1","-1","22a2a","221","333","333","5","27","27"
"163","0.784","0.042","0.066","0.042","0.066","-1","-1","-1","-1","322a","131","131","321","7","7","6"
"164","0.333","0.333","0.333","-1","-1","-1","-1","-1","-1","333","222","222","222","14","14","14"
"165","0.617","0.149","0.043","0.149","0.043","-1","-1","-1","-1","322b","111","131","211","1","7","2"
"166","0.827","0.023","0.023","0.028","0.073","0.028","-1","-1","-1","321","132","122","312","16","13","12"
"167","0.784","0.042","0.066","0.042","0.066","-1","-1","-1","-1","322a","231","231","333","8","8","27"
"168","0.333","0.333","0.333","-1","-1","-1","-1","-1","-1","333","111","111","111","1","1","1"
"169","0.617","0.149","0.043","0.149","0.043","-1","-1","-1","-1","322b","132","133","122","16","25","13"
