"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","objectNames.1","objectNames.2","objectNames.3","objectNames.4","objectNames.5","objectNames.6","objectNames.7","objectNames.8","objectNames.9"
"71", 1, 3,17,"22a1",1,2,3,1,2,3,NA,cloud,solid,blue,square,solid,blue,circle,dotted,red
"72", 1, 3,18,"22a2b",1,2,3,2,1,3,NA,cloud,solid,blue,square,solid,blue,square,dotted,red
"73", 1, 3,19,"322b",2,1,3,1,2,3,NA,cloud,solid,blue,square,solid,blue,cloud,solid,green
"74", 1, 3,20,"321",2,1,3,1,2,3,NA,cloud,solid,blue,square,solid,blue,circle,solid,green
"75", 1, 3,21,"322b",2,1,3,2,1,3,NA,cloud,solid,blue,square,solid,blue,square,solid,green
"76", 1, 3,22,"22a2b",1,2,3,1,2,3,NA,cloud,solid,blue,square,solid,blue,cloud,striped,green
"77", 1, 3,23,"22a1",1,2,3,1,2,3,NA,cloud,solid,blue,square,solid,blue,circle,striped,green
"78", 1, 3,24,"22a2b",1,2,3,2,1,3,NA,cloud,solid,blue,square,solid,blue,square,striped,green
"79", 1, 3,25,"22a2b",1,2,3,1,2,3,NA,cloud,solid,blue,square,solid,blue,cloud,dotted,green
"80", 1, 3,26,"22a1",1,2,3,1,2,3,NA,cloud,solid,blue,square,solid,blue,circle,dotted,green
"81", 1, 3,27,"22a2b",1,2,3,2,1,3,NA,cloud,solid,blue,square,solid,blue,square,dotted,green
"82", 1, 4, 1,"332",1,3,2,1,2,3,NA,cloud,solid,blue,cloud,striped,blue,cloud,solid,blue
"83", 1, 4, 2,"322b",3,2,1,1,2,3,NA,cloud,solid,blue,cloud,striped,blue,circle,solid,blue
"84", 1, 4, 3,"322b",3,2,1,1,2,3,NA,cloud,solid,blue,cloud,striped,blue,square,solid,blue
"85", 1, 4, 4,"332",1,3,2,1,3,2,NA,cloud,solid,blue,cloud,striped,blue,cloud,striped,blue
"86", 1, 4, 5,"322b",3,2,1,2,1,3,NA,cloud,solid,blue,cloud,striped,blue,circle,striped,blue
"87", 1, 4, 6,"322b",3,2,1,2,1,3,NA,cloud,solid,blue,cloud,striped,blue,square,striped,blue
"88", 1, 4, 7,"331",1,3,2,1,2,3,NA,cloud,solid,blue,cloud,striped,blue,cloud,dotted,blue
"89", 1, 4, 8,"321",3,2,1,1,2,3,NA,cloud,solid,blue,cloud,striped,blue,circle,dotted,blue
"90", 1, 4, 9,"321",3,2,1,1,2,3,NA,cloud,solid,blue,cloud,striped,blue,square,dotted,blue
"91", 1, 4,10,"322b",1,2,3,1,2,3,NA,cloud,solid,blue,cloud,striped,blue,cloud,solid,red
"92", 1, 4,11,"22a2b",1,2,3,1,2,3,NA,cloud,solid,blue,cloud,striped,blue,circle,solid,red
"93", 1, 4,12,"22a2b",1,2,3,1,2,3,NA,cloud,solid,blue,cloud,striped,blue,square,solid,red
"94", 1, 4,13,"322b",1,2,3,2,1,3,NA,cloud,solid,blue,cloud,striped,blue,cloud,striped,red
"95", 1, 4,14,"22a2b",1,2,3,2,1,3,NA,cloud,solid,blue,cloud,striped,blue,circle,striped,red
"96", 1, 4,15,"22a2b",1,2,3,2,1,3,NA,cloud,solid,blue,cloud,striped,blue,square,striped,red
"97", 1, 4,16,"321",1,2,3,1,2,3,NA,cloud,solid,blue,cloud,striped,blue,cloud,dotted,red
"98", 1, 4,17,"22a1",1,2,3,1,2,3,NA,cloud,solid,blue,cloud,striped,blue,circle,dotted,red
"99", 1, 4,18,"22a1",1,2,3,1,2,3,NA,cloud,solid,blue,cloud,striped,blue,square,dotted,red
"100", 1, 4,19,"322b",1,2,3,1,2,3,NA,cloud,solid,blue,cloud,striped,blue,cloud,solid,green
"101", 1, 4,20,"22a2b",1,2,3,1,2,3,NA,cloud,solid,blue,cloud,striped,blue,circle,solid,green
"102", 1, 4,21,"22a2b",1,2,3,1,2,3,NA,cloud,solid,blue,cloud,striped,blue,square,solid,green
"103", 1, 4,22,"322b",1,2,3,2,1,3,NA,cloud,solid,blue,cloud,striped,blue,cloud,striped,green
"104", 1, 4,23,"22a2b",1,2,3,2,1,3,NA,cloud,solid,blue,cloud,striped,blue,circle,striped,green
"105", 1, 4,24,"22a2b",1,2,3,2,1,3,NA,cloud,solid,blue,cloud,striped,blue,square,striped,green
"106", 1, 4,25,"321",1,2,3,1,2,3,NA,cloud,solid,blue,cloud,striped,blue,cloud,dotted,green
"107", 1, 4,26,"22a1",1,2,3,1,2,3,NA,cloud,solid,blue,cloud,striped,blue,circle,dotted,green
"108", 1, 4,27,"22a1",1,2,3,1,2,3,NA,cloud,solid,blue,cloud,striped,blue,square,dotted,green
"109", 1, 5, 1,"322a",3,2,1,1,3,2,NA,cloud,solid,blue,circle,striped,blue,cloud,solid,blue
"110", 1, 5, 2,"322b",3,2,1,3,2,1,NA,cloud,solid,blue,circle,striped,blue,circle,solid,blue
"111", 1, 5, 3,"321",3,2,1,1,3,2,NA,cloud,solid,blue,circle,striped,blue,square,solid,blue
"112", 1, 5, 4,"322b",3,2,1,3,2,1,NA,cloud,solid,blue,circle,striped,blue,cloud,striped,blue
"113", 1, 5, 5,"322a",3,2,1,2,3,1,NA,cloud,solid,blue,circle,striped,blue,circle,striped,blue
"114", 1, 5, 6,"321",3,2,1,1,3,2,NA,cloud,solid,blue,circle,striped,blue,square,striped,blue
"115", 1, 5, 7,"321",3,2,1,1,3,2,NA,cloud,solid,blue,circle,striped,blue,cloud,dotted,blue
"116", 1, 5, 8,"321",3,2,1,1,3,2,NA,cloud,solid,blue,circle,striped,blue,circle,dotted,blue
"117", 1, 5, 9,"311",3,2,1,1,2,3,NA,cloud,solid,blue,circle,striped,blue,square,dotted,blue
"118", 1, 5,10,"22a2b",1,2,3,1,3,2,NA,cloud,solid,blue,circle,striped,blue,cloud,solid,red
"119", 1, 5,11,"22b2b",1,2,3,3,2,1,NA,cloud,solid,blue,circle,striped,blue,circle,solid,red
"120", 1, 5,12,"22b1",1,2,3,1,2,3,NA,cloud,solid,blue,circle,striped,blue,square,solid,red
"121", 1, 5,13,"22b2b",1,2,3,3,1,2,NA,cloud,solid,blue,circle,striped,blue,cloud,striped,red
"122", 1, 5,14,"22a2b",1,2,3,2,3,1,NA,cloud,solid,blue,circle,striped,blue,circle,striped,red
"123", 1, 5,15,"22b1",1,2,3,2,1,3,NA,cloud,solid,blue,circle,striped,blue,square,striped,red
"124", 1, 5,16,"22b1",1,2,3,1,2,3,NA,cloud,solid,blue,circle,striped,blue,cloud,dotted,red
"125", 1, 5,17,"22b1",1,2,3,2,1,3,NA,cloud,solid,blue,circle,striped,blue,circle,dotted,red
"126", 1, 5,18,"211",1,2,3,1,2,3,NA,cloud,solid,blue,circle,striped,blue,square,dotted,red
"127", 1, 5,19,"22a2b",1,2,3,1,3,2,NA,cloud,solid,blue,circle,striped,blue,cloud,solid,green
"128", 1, 5,20,"22b2b",1,2,3,3,2,1,NA,cloud,solid,blue,circle,striped,blue,circle,solid,green
"129", 1, 5,21,"22b1",1,2,3,1,2,3,NA,cloud,solid,blue,circle,striped,blue,square,solid,green
"130", 1, 5,22,"22b2b",1,2,3,3,1,2,NA,cloud,solid,blue,circle,striped,blue,cloud,striped,green
"131", 1, 5,23,"22a2b",1,2,3,2,3,1,NA,cloud,solid,blue,circle,striped,blue,circle,striped,green
"132", 1, 5,24,"22b1",1,2,3,2,1,3,NA,cloud,solid,blue,circle,striped,blue,square,striped,green
"133", 1, 5,25,"22b1",1,2,3,1,2,3,NA,cloud,solid,blue,circle,striped,blue,cloud,dotted,green
"134", 1, 5,26,"22b1",1,2,3,2,1,3,NA,cloud,solid,blue,circle,striped,blue,circle,dotted,green
"135", 1, 5,27,"211",1,2,3,1,2,3,NA,cloud,solid,blue,circle,striped,blue,square,dotted,green
"136", 1, 6, 1,"322a",3,2,1,1,3,2,NA,cloud,solid,blue,square,striped,blue,cloud,solid,blue
"137", 1, 6, 2,"321",3,2,1,1,3,2,NA,cloud,solid,blue,square,striped,blue,circle,solid,blue
"138", 1, 6, 3,"322b",3,2,1,3,2,1,NA,cloud,solid,blue,square,striped,blue,square,solid,blue
"139", 1, 6, 4,"322b",3,2,1,3,2,1,NA,cloud,solid,blue,square,striped,blue,cloud,striped,blue
"140", 1, 6, 5,"321",3,2,1,1,3,2,NA,cloud,solid,blue,square,striped,blue,circle,striped,blue
"141", 1, 6, 6,"322a",3,2,1,2,3,1,NA,cloud,solid,blue,square,striped,blue,square,striped,blue
"142", 1, 6, 7,"321",3,2,1,1,3,2,NA,cloud,solid,blue,square,striped,blue,cloud,dotted,blue
"143", 1, 6, 8,"311",3,2,1,1,2,3,NA,cloud,solid,blue,square,striped,blue,circle,dotted,blue
"144", 1, 6, 9,"321",3,2,1,1,3,2,NA,cloud,solid,blue,square,striped,blue,square,dotted,blue
"145", 1, 6,10,"22a2b",1,2,3,1,3,2,NA,cloud,solid,blue,square,striped,blue,cloud,solid,red
"146", 1, 6,11,"22b1",1,2,3,1,2,3,NA,cloud,solid,blue,square,striped,blue,circle,solid,red
"147", 1, 6,12,"22b2b",1,2,3,3,2,1,NA,cloud,solid,blue,square,striped,blue,square,solid,red
"148", 1, 6,13,"22b2b",1,2,3,3,1,2,NA,cloud,solid,blue,square,striped,blue,cloud,striped,red
"149", 1, 6,14,"22b1",1,2,3,2,1,3,NA,cloud,solid,blue,square,striped,blue,circle,striped,red
"150", 1, 6,15,"22a2b",1,2,3,2,3,1,NA,cloud,solid,blue,square,striped,blue,square,striped,red
"151", 1, 6,16,"22b1",1,2,3,1,2,3,NA,cloud,solid,blue,square,striped,blue,cloud,dotted,red
"152", 1, 6,17,"211",1,2,3,1,2,3,NA,cloud,solid,blue,square,striped,blue,circle,dotted,red
"153", 1, 6,18,"22b1",1,2,3,2,1,3,NA,cloud,solid,blue,square,striped,blue,square,dotted,red
"154", 1, 6,19,"22a2b",1,2,3,1,3,2,NA,cloud,solid,blue,square,striped,blue,cloud,solid,green
"155", 1, 6,20,"22b1",1,2,3,1,2,3,NA,cloud,solid,blue,square,striped,blue,circle,solid,green
"156", 1, 6,21,"22b2b",1,2,3,3,2,1,NA,cloud,solid,blue,square,striped,blue,square,solid,green
"157", 1, 6,22,"22b2b",1,2,3,3,1,2,NA,cloud,solid,blue,square,striped,blue,cloud,striped,green
"158", 1, 6,23,"22b1",1,2,3,2,1,3,NA,cloud,solid,blue,square,striped,blue,circle,striped,green
"159", 1, 6,24,"22a2b",1,2,3,2,3,1,NA,cloud,solid,blue,square,striped,blue,square,striped,green
"160", 1, 6,25,"22b1",1,2,3,1,2,3,NA,cloud,solid,blue,square,striped,blue,cloud,dotted,green
"161", 1, 6,26,"211",1,2,3,1,2,3,NA,cloud,solid,blue,square,striped,blue,circle,dotted,green
"162", 1, 6,27,"22b1",1,2,3,2,1,3,NA,cloud,solid,blue,square,striped,blue,square,dotted,green
"163", 1, 7, 1,"332",1,3,2,1,2,3,NA,cloud,solid,blue,cloud,dotted,blue,cloud,solid,blue
"164", 1, 7, 2,"322b",3,2,1,1,2,3,NA,cloud,solid,blue,cloud,dotted,blue,circle,solid,blue
